Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
GAMESAVED,#GAMESAVED,,,,,,
GAMETITLE,#GAMETITLE,,,,,,
INTRO_1,#INTRO_1,,,,,,
INTRO_2,#INTRO_2,,,,,,
INTRO_LOCATION,#INTRO_LOCATION,,,,,,
INTRO_DATE,#INTRO_DATE,,,,,,
INTRO_TIME,#INTRO_TIME,,,,,,
CR32,#CR32,,,,,,
CR33,#CR33,,,,,,
CR34,#CR34,,,,,,
GAMEOVER_1,#GAMEOVER_1,,,,,,
GAMEOVER_2,#GAMEOVER_2,,,,,,
GAMEOVER_3,#GAMEOVER_3,,,,,,
CHAPTER1,#CHAPTER1,,,,,,
CHAPTER2,#CHAPTER2,,,,,,
CHAPTER3,#CHAPTER3,,,,,,
CHAPTER4,#CHAPTER4,,,,,,
CHAPTER5,#CHAPTER5,,,,,,
CHAPTER6,#CHAPTER6,,,,,,
CHAPTER7,#CHAPTER7,,,,,,
CHAPTER8,#CHAPTER8,,,,,,
CHAPTER9,#CHAPTER9,,,,,,
ENDING1,#ENDING1,,,,,,
ENDING2,#ENDING2,,,,,,
ENDING3,#ENDING3,,,,,,
,,,,,,,
C1A0_0,#C1A0_0,SweetRed,,#HalfLife_VOX,,,C
C1A0_1,#C1A0_1,SweetRed,,#HalfLife_VOX,,,C
C1A0_2,#C1A0_2,SweetRed,,#HalfLife_VOX,,,C
C1A0_3,#C1A0_3,SweetRed,,#HalfLife_VOX,,,C
C1A0_4,#C1A0_4,SweetRed,,#HalfLife_VOX,,,C
C1A0_5,#C1A0_5,SweetRed,,#HalfLife_VOX,,,C
C1A0_6,#C1A0_6,SweetRed,,#HalfLife_VOX,,,C
C1A0_7,#C1A0_7,SweetRed,,#HalfLife_VOX,,,C
C1A0_8,#C1A0_8,SweetRed,,#HalfLife_VOX,,,C
C1A0_9,#C1A0_9,SweetRed,,#HalfLife_VOX,,,C
C1A0_10,#C1A0_10,SweetRed,,#HalfLife_VOX,,,C
C1A0_11,#C1A0_11,SweetRed,,#HalfLife_VOX,,,C
C1A0_12,#C1A0_12,SweetRed,,#HalfLife_VOX,,,C
C1A0_13,#C1A0_13,SweetRed,,#HalfLife_VOX,,,C
C1A0_14,#C1A0_14,SweetRed,,#HalfLife_VOX,,,C
C1A0_15,#C1A0_15,SweetRed,,#HalfLife_VOX,,,C
C1A0_16,#C1A0_16,SweetRed,,#HalfLife_VOX,,,C
C1A0_17,#C1A0_17,SweetRed,,#HalfLife_VOX,,,C
C1A0_18,#C1A0_18,SweetRed,,#HalfLife_VOX,,,C
C1A0_19,#C1A0_19,SweetRed,,#HalfLife_VOX,,,C
C1A0_20,#C1A0_20,SweetRed,,#HalfLife_VOX,,,C
C1A0_21,#C1A0_21,SweetRed,,#HalfLife_VOX,,,C
C1A0_22,#C1A0_22,SweetRed,,#HalfLife_VOX,,,C
C1A1_0,#C1A1_0,SweetRed,,#HalfLife_VOX,,,C
C1A1_1,#C1A1_1,SweetRed,,#HalfLife_VOX,,,C
C1A1_2,#C1A1_2,SweetRed,,#HalfLife_VOX,,,C
C1A1_3,#C1A1_3,SweetRed,,#HalfLife_VOX,,,C
C1A1_4,#C1A1_4,SweetRed,,#HalfLife_VOX,,,C
C1A1_5,#C1A1_5,SweetRed,,#HalfLife_VOX,,,C
C1A1_6,#C1A1_6,SweetRed,,#HalfLife_VOX,,,C
C1A1_7,#C1A1_7,SweetRed,,#HalfLife_VOX,,,C
C1A1_8,#C1A1_8,SweetRed,,#HalfLife_VOX,,,C
C1A1_9,#C1A1_9,SweetRed,,#HalfLife_VOX,,,C
C1A1_10,#C1A1_10,SweetRed,,#HalfLife_VOX,,,C
C1A1_11,#C1A1_11,SweetRed,,#HalfLife_VOX,,,C
C1A3_0,#C1A3_0,SweetRed,,#HalfLife_VOX,,,C
C1A3_1,#C1A3_1,SweetRed,,#HalfLife_VOX,,,C
C1A3_2,#C1A3_2,SweetRed,,#HalfLife_VOX,,,C
C1A3_3,#C1A3_3,SweetRed,,#HalfLife_VOX,,,C
C1A3_4,#C1A3_4,SweetRed,,#HalfLife_VOX,,,C
C1A3_5,#C1A3_5,SweetRed,,#HalfLife_VOX,,,C
C1A3_6,#C1A3_6,SweetRed,,#HalfLife_VOX,,,C
C1A3_7,#C1A3_7,SweetRed,,#HalfLife_VOX,,,C
C1A3_8,#C1A3_8,SweetRed,,#HalfLife_VOX,,,C
C1A3_9,#C1A3_9,SweetRed,,#HalfLife_VOX,,,C
C1A3_10,#C1A3_10,SweetRed,,#HalfLife_VOX,,,C
C1A3_warn,#C1A3_warn,SweetRed,,#HalfLife_VOX,,,C
C1A3_lock,#C1A3_lock,SweetRed,,#HalfLife_VOX,,,C
POWER_OFF,#POWER_OFF,SweetRed,,#HalfLife_VOX,,,C
C3A1_8,#C3A1_8,SweetRed,,#HalfLife_VOX,,,C
C3A2_0,#C3A2_0,SweetRed,,#HalfLife_VOX,,,C
C3A2_1,#C3A2_1,SweetRed,,#HalfLife_VOX,,,C
C3A2_2,#C3A2_2,SweetRed,,#HalfLife_VOX,,,C
C3A2_3,#C3A2_3,SweetRed,,#HalfLife_VOX,,,C
C3A2_4,#C3A2_4,SweetRed,,#HalfLife_VOX,,,C
C3A2_5,#C3A2_5,SweetRed,,#HalfLife_VOX,,,C
C3A2_6,#C3A2_6,SweetRed,,#HalfLife_VOX,,,C
C3A2_7,#C3A2_7,SweetRed,,#HalfLife_VOX,,,C
DC0,#DC0,SweetRed,,#HalfLife_VOX,,,C
DC1,#DC1,SweetRed,,#HalfLife_VOX,,,C
DC2,#DC2,SweetRed,,#HalfLife_VOX,,,C
DC3,#DC3,SweetRed,,#HalfLife_VOX,,,C
DC4,#DC4,SweetRed,,#HalfLife_VOX,,,C
DR0,#DR0,SweetRed,,#HalfLife_VOX,,,C
DR1,#DR1,SweetRed,,#HalfLife_VOX,,,C
DR2,#DR2,SweetRed,,#HalfLife_VOX,,,C
DR3,#DR3,SweetRed,,#HalfLife_VOX,,,C
DR4,#DR4,SweetRed,,#HalfLife_VOX,,,C
NA0,#NA0,SweetRed,,#HalfLife_VOX,,,C
NA1,#NA1,SweetRed,,#HalfLife_VOX,,,C
NA2,#NA2,SweetRed,,#HalfLife_VOX,,,C
NA3,#NA3,SweetRed,,#HalfLife_VOX,,,C
NA4,#NA4,SweetRed,,#HalfLife_VOX,,,C
NA5,#NA5,SweetRed,,#HalfLife_VOX,,,C
NA6,#NA6,SweetRed,,#HalfLife_VOX,,,C
NA7,#NA7,SweetRed,,#HalfLife_VOX,,,C
NA8,#NA8,SweetRed,,#HalfLife_VOX,,,C
NA9,#NA9,SweetRed,,#HalfLife_VOX,,,C
NA10,#NA10,SweetRed,,#HalfLife_VOX,,,C
NA11,#NA11,SweetRed,,#HalfLife_VOX,,,C
NA12,#NA12,SweetRed,,#HalfLife_VOX,,,C
NA13,#NA13,SweetRed,,#HalfLife_VOX,,,C
NA14,#NA14,SweetRed,,#HalfLife_VOX,,,C
NA15,#NA15,SweetRed,,#HalfLife_VOX,,,C
NA16,#NA16,SweetRed,,#HalfLife_VOX,,,C
NA17,#NA17,SweetRed,,#HalfLife_VOX,,,C
NA18,#NA18,SweetRed,,#HalfLife_VOX,,,C
NF0,#NF0,SweetRed,,#HalfLife_VOX,,,C
NF1,#NF1,SweetRed,,#HalfLife_VOX,,,C
NG0,#NG0,SweetRed,,#HalfLife_VOX,,,C
NG1,#NG1,SweetRed,,#HalfLife_VOX,,,C
NG2,#NG2,SweetRed,,#HalfLife_VOX,,,C
NFIRE0,#NFIRE0,SweetRed,,#HalfLife_VOX,,,C
NCON0,#NCON0,SweetRed,,#HalfLife_VOX,,,C
intro/intro_eli_1.wav,#intro_eli_1,SweetOrange,,#HalfLife_Eli,,,C
intro/intro_eli_2.wav,#intro_eli_2,SweetOrange,,#HalfLife_Eli,,,C
intro/intro_eli_3.wav,#intro_eli_3,SweetOrange,,#HalfLife_Eli,,,C
intro/intro_eli_4.wav,#intro_eli_4,SweetOrange,,#HalfLife_Eli,,,C
intro/intro_eli_5.wav,#intro_eli_5,SweetOrange,,#HalfLife_Eli,,,C
intro/intro_eli_6.wav,#intro_eli_6,SweetOrange,,#HalfLife_Eli,,,C
intro/intro_eli_7.wav,#intro_eli_7,SweetOrange,,#HalfLife_Eli,,,C
outtro/eli_basehouse.wav,#eli_basehouse,SweetOrange,,#HalfLife_Eli,,,C
outtro/eli_ohalyx.wav,#eli_ohalyx,SweetOrange,,#HalfLife_Eli,,,C
outtro/eli_rememberwife.wav,#eli_rememberwife,SweetOrange,,#HalfLife_Eli,,,C
outtro/eli_rescuedher.wav,#eli_rescuedher,SweetOrange,,#HalfLife_Eli,,,C
outtro/eli_whathappened.wav,#eli_whathappened,SweetOrange,,#HalfLife_Eli,,,C
outtro/alyx-gordon.wav,#alyx-gordon,LightMagenta,,#HalfLife_Alyx,,,C
outtro/baby1.wav,#baby1,LightMagenta,,#HalfLife_Alyx,,,C
env/colette_stop2.wav,#colette_stop2,Maroon,,#HalfLife_Collette,,,C
env/excuseme.wav,#excuseme,Maroon,,#HalfLife_Collette,,,C
env/gina_mad1.wav,#gina_mad1,Tan,,#HalfLife_Gina,,,C
,,,,,,,
agamemnon/ag_abandon.wav,#ag_abandon,SweetGreen,,#Echoes_Agamemnon,,,C
agamemnon/ag_comeon0.wav,#ag_comeon0,SweetGreen,,#Echoes_Agamemnon,,,C
agamemnon/ag_comeon1.wav,#ag_comeon1,SweetGreen,,#Echoes_Agamemnon,,,C
agamemnon/ag_comeon2.wav,#ag_comeon2,SweetGreen,,#Echoes_Agamemnon,,,C
