Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
GAMESAVED,#CaptionMod_GameSaved,,,,,,
GAMETITLE,#GAMETITLE,,,,,,
CR28,#CR28,,,,,,
CR29,#CR29,,,,,,
CR30,#CR30,,,,,,
CR31,#CR31,,,,,,
CR32,#CR32,,,,,,
CR33,#CR33,,,,,,
GFOLLOW_LOSER,#GFOLLOW_LOSER,,,,,,
GAMEOVER,#GAMEOVER,,,,,,
BC_FAILURE,#BC_FAILURE,,,,,,
OFGAMEOVER,#OFGAMEOVER,,,,,,
DISP_LOSER,#DISP_LOSER,,,,,,
OF_BOOT0TITLE,#OF_BOOT0TITLE,,,,,,
OF0A0,#OF0A0,,,,,,
OF1A1TITLE,#OF1A1TITLE,,,,,,
OF1A3TITLE,#OF1A3TITLE,,,,,,
OF1A5TITLE,#OF1A5TITLE,,,,,,
OF2A1TITLE,#OF2A1TITLE,,,,,,
OF2A4TITLE,#OF2A4TITLE,,,,,,
OF3A1TITLE,#OF3A1TITLE,,,,,,
OF3A3TITLE,#OF3A3TITLE,,,,,,
OF4A1TITLE,#OF4A1TITLE,,,,,,
OF4A4TITLE,#OF4A4TITLE,,,,,,
OF5A1TITLE,#OF5A1TITLE,,,,,,
OF6A1TITLE,#OF6A1TITLE,,,,,,
OF6A4TITLE,#OF6A4TITLE,,,,,,
OF7A0TITLE,#OF7A0TITLE,,,,,,
C4A1TITLE,#C4A1TITLE,,,,,,
BCROPES01,#BCROPES01,,,,,,
BCROPES02,#BCROPES02,,,,,,
BCROPES03,#BCROPES03,,,,,,
BCROPES04,#BCROPES04,,,,,,
BCPISTOL01,#BCPISTOL01,,,,,,
BCRIFLE01,#BCRIFLE01,,,,,,
BCNVISION,#BCNVISION,,,,,,
scientist/absolutely.wav,#absolutely,Gray,,#HalfLife_Scientist,,,C
scientist/absolutelynot.wav,#absolutelynot,Gray,,#HalfLife_Scientist,,,C
scientist/administrator.wav,#administrator,Gray,,#HalfLife_Scientist,,,C
scientist/afellowsci.wav,#afellowsci,Gray,,#HalfLife_Scientist,,,C
scientist/ahfreeman.wav,#ahfreeman,Gray,,#HalfLife_Scientist,,,C
scientist/alienapeal.wav,#alienapeal,Gray,,#HalfLife_Scientist,,,C
scientist/alientrick.wav,#alientrick,Gray,,#HalfLife_Scientist,,,C
scientist/allnominal.wav,#allnominal,Gray,,#HalfLife_Scientist,,,C
scientist/alright.wav,#alright,Gray,,#HalfLife_Scientist,,,C
scientist/analysis.wav,#analysis,Gray,,#HalfLife_Scientist,,,C
scientist/announcer.wav,#announcer,Gray,,#HalfLife_Scientist,,,C
scientist/areyouthink.wav,#areyouthink,Gray,,#HalfLife_Scientist,,,C
scientist/asexpected.wav,#asexpected,Gray,,#HalfLife_Scientist,,,C
scientist/beenaburden.wav,#beenaburden,Gray,,#HalfLife_Scientist,,,C
scientist/beverage.wav,#beverage,Gray,,#HalfLife_Scientist,,,C
scientist/bloodsample.wav,#bloodsample,Gray,,#HalfLife_Scientist,,,C
scientist/cantbeserious.wav,#cantbeserious,Gray,,#HalfLife_Scientist,,,C
scientist/cantbeworse.wav,#cantbeworse,Gray,,#HalfLife_Scientist,,,C
scientist/canttakemore.wav,#canttakemore,Gray,,#HalfLife_Scientist,,,C
scientist/cascade.wav,#cascade,Gray,,#HalfLife_Scientist,,,C
scientist/catchone.wav,#catchone,Gray,,#HalfLife_Scientist,,,C
scientist/chaostheory.wav,#chaostheory,Gray,,#HalfLife_Scientist,,,C
scientist/checkatten.wav,#checkatten,Gray,,#HalfLife_Scientist,,,C
scientist/completelywrong.wav,#completelywrong,Gray,,#HalfLife_Scientist,,,C
scientist/containfail.wav,#containfail,Gray,,#HalfLife_Scientist,,,C
scientist/correcttheory.wav,#correcttheory,Gray,,#HalfLife_Scientist,,,C
scientist/delayagain.wav,#delayagain,Gray,,#HalfLife_Scientist,,,C
scientist/didyouhear.wav,#didyouhear,Gray,,#HalfLife_Scientist,,,C
scientist/dinner.wav,#dinner,Gray,,#HalfLife_Scientist,,,C
scientist/dontconcur.wav,#dontconcur,Gray,,#HalfLife_Scientist,,,C
scientist/dontgothere.wav,#dontgothere,Gray,,#HalfLife_Scientist,,,C
scientist/dontknow.wav,#dontknow,Gray,,#HalfLife_Scientist,,,C
scientist/dontwantdie.wav,#dontwantdie,Gray,,#HalfLife_Scientist,,,C
scientist/donuteater.wav,#donuteater,Gray,,#HalfLife_Scientist,,,C
scientist/doyousmell.wav,#doyousmell,Gray,,#HalfLife_Scientist,,,C
scientist/evergetout.wav,#evergetout,Gray,,#HalfLife_Scientist,,,C
scientist/erseen.wav,#erseen,Gray,,#HalfLife_Scientist,,,C
scientist/excellentteam.wav,#excellentteam,Gray,,#HalfLife_Scientist,,,C
scientist/excuse.wav,#excuse,Gray,,#HalfLife_Scientist,,,C
scientist/fascinating.wav,#fascinating,Gray,,#HalfLife_Scientist,,,C
scientist/fellowscientist.wav,#fellowscientist,Gray,,#HalfLife_Scientist,,,C
scientist/fine.wav,#fine,Gray,,#HalfLife_Scientist,,,C
scientist/freeman.wav,#freeman,Gray,,#HalfLife_Scientist,,,C
scientist/freemanalive.wav,#freemanalive,Gray,,#HalfLife_Scientist,,,C
scientist/fusionshunt.wav,#fusionshunt,Gray,,#HalfLife_Scientist,,,C
scientist/getoutalive.wav,#getoutalive,Gray,,#HalfLife_Scientist,,,C
scientist/getoutofhere.wav,#getoutofhere,Gray,,#HalfLife_Scientist,,,C
scientist/goodpaper.wav,#goodpaper,Gray,,#HalfLife_Scientist,,,C
scientist/goodtoseeyou.wav,#goodtoseeyou,Gray,,#HalfLife_Scientist,,,C
scientist/gottogetout.wav,#gottogetout,Gray,,#HalfLife_Scientist,,,C
scientist/greetings.wav,#greetings,Gray,,#HalfLife_Scientist,,,C
scientist/greetings2.wav,#greetings2,Gray,,#HalfLife_Scientist,,,C
scientist/headcrab.wav,#headcrab,Gray,,#HalfLife_Scientist,,,C
scientist/heal1.wav,#heal1,Gray,,#HalfLife_Scientist,,,C
scientist/heal2.wav,#heal2,Gray,,#HalfLife_Scientist,,,C
scientist/heal3.wav,#heal3,Gray,,#HalfLife_Scientist,,,C
scientist/heal4.wav,#heal4,Gray,,#HalfLife_Scientist,,,C
scientist/heal5.wav,#heal5,Gray,,#HalfLife_Scientist,,,C
scientist/hearsomething.wav,#scientisthearsomething,Gray,,#HalfLife_Scientist,,,C
scientist/hello.wav,#scientisthello,Gray,,#HalfLife_Scientist,,,C
scientist/hello2.wav,#scientisthello2,Gray,,#HalfLife_Scientist,,,C
scientist/hellofreeman,#hellofreeman,Gray,,#HalfLife_Scientist,,,C
scientist/hellofromlab,#hellofromlab,Gray,,#HalfLife_Scientist,,,C
scientist/hellothere.wav,#hellothere,Gray,,#HalfLife_Scientist,,,C
scientist/hideglasses.wav,#hideglasses,Gray,,#HalfLife_Scientist,,,C
scientist/holdstill.wav,#holdstill,Gray,,#HalfLife_Scientist,,,C
scientist/hopenominal.wav,#hopenominal,Gray,,#HalfLife_Scientist,,,C
scientist/hopeyouknow.wav,#hopeyouknow,Gray,,#HalfLife_Scientist,,,C
scientist/howinteresting.wav,#howinteresting,Gray,,#HalfLife_Scientist,,,C
scientist/hungryyet.wav,#hungryyet,Gray,,#HalfLife_Scientist,,,C
scientist/ibelieveso.wav,#ibelieveso,Gray,,#HalfLife_Scientist,,,C
scientist/idontthinkso.wav,#idontthinkso,Gray,,#HalfLife_Scientist,,,C
scientist/ihearsomething.wav,#ihearsomething,Gray,,#HalfLife_Scientist,,,C
scientist/illwait.wav,#illwait,Gray,,#HalfLife_Scientist,,,C
scientist/illwaithere.wav,#illwaithere,Gray,,#HalfLife_Scientist,,,C
scientist/importantspecies.wav,#importantspecies,Gray,,#HalfLife_Scientist,,,C
scientist/improbable.wav,#improbable,Gray,,#HalfLife_Scientist,,,C
scientist/imsure.wav,#imsure,Gray,,#HalfLife_Scientist,,,C
scientist/inconclusive.wav,#inconclusive,Gray,,#HalfLife_Scientist,,,C
scientist/inmesstoo.wav,#inmesstoo,Gray,,#HalfLife_Scientist,,,C
scientist/ipredictedthis.wav,#ipredictedthis,Gray,,#HalfLife_Scientist,,,C
scientist/istay.wav,#istay,Gray,,#HalfLife_Scientist,,,C
scientist/iwounded.wav,#iwounded,Gray,,#HalfLife_Scientist,,,C
scientist/iwounded2.wav,#iwounded2,Gray,,#HalfLife_Scientist,,,C
scientist/iwoundedbad.wav,#iwoundedbad,Gray,,#HalfLife_Scientist,,,C
scientist/justasked.wav,#justasked,Gray,,#HalfLife_Scientist,,,C
scientist/lambdalab.wav,#lambdalab,Gray,,#HalfLife_Scientist,,,C
scientist/leadtheway.wav,#leadtheway,Gray,,#HalfLife_Scientist,,,C
scientist/leavingme.wav,#leavingme,Gray,,#HalfLife_Scientist,,,C
scientist/letmehelp.wav,#letmehelp,Gray,,#HalfLife_Scientist,,,C
scientist/letsgo.wav,#scientistletsgo,Gray,,#HalfLife_Scientist,,,C
scientist/letstrythis.wav,#letstrythis,Gray,,#HalfLife_Scientist,,,C
scientist/letyouin.wav,#letyouin,Gray,,#HalfLife_Scientist,,,C
scientist/limitsok.wav,#limitsok,Gray,,#HalfLife_Scientist,,,C
scientist/lowervoice.wav,#lowervoice,Gray,,#HalfLife_Scientist,,,C
scientist/luckwillchange.wav,#luckwillchange,Gray,,#HalfLife_Scientist,,,C
scientist/madness.wav,#madness,Gray,,#HalfLife_Scientist,,,C
scientist/needsleep.wav,#needsleep,Gray,,#HalfLife_Scientist,,,C
scientist/neverseen.wav,#neverseen,Gray,,#HalfLife_Scientist,,,C
scientist/newhevsuit.wav,#newhevsuit,Gray,,#HalfLife_Scientist,,,C
scientist/newsample.wav,#newsample,Gray,,#HalfLife_Scientist,,,C
scientist/nodoubt.wav,#nodoubt,Gray,,#HalfLife_Scientist,,,C
