Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Robogrunts Incoming in Five Seconds...,五秒后机器人士兵来袭...,,,,,,
NETMESSAGE:Library Keycard Found!,已找到图书馆钥匙卡！,,,,,,
"NETMESSAGE:Toilets, how many???",厕所，有多少个？？？,,,,,,
NETMESSAGE:Y'all are real book worms aren't you,你们都是真正的书虫，不是吗,,,,,,
NETMESSAGE:I need a keycard...,我需要一张钥匙卡...,,,,,,
NETMESSAGE:ENEMIES INCOMING!\nTake cover in the storage room!,敌人来袭！\n躲进储藏室！,,,,,,
NETMESSAGE:You shouldn't have done that...,你不该那么做...,,,,,,
NETMESSAGE:I need a keycard...,我需要一张钥匙卡...,,,,,,
NETMESSAGE:But more importantly...\nWhat's up there?,但更重要的是...\n那上面有什么？,,,,,,
NETMESSAGE:A player has discovered a secret!,一名玩家发现了秘密！,,,,,,
NETMESSAGE:Bay Access Door Opened Temporarily,舱门已临时打开,,,,,,
