Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Vote failed!\nPlease try again.,投票失败！\n请重试。,,,,,,
NETMESSAGE:- ENDING 2 -\n\nVote success! Skipping training scenario...,- 结局 2 -\n\n投票成功！跳过训练场景...,,,,,,
NETMESSAGE:Map will change in 15 seconds..,地图将在15秒后更换..,,,,,,
NETMESSAGE:Map will change in 14 seconds..,地图将在14秒后更换..,,,,,,
NETMESSAGE:Map will change in 13 seconds..,地图将在13秒后更换..,,,,,,
NETMESSAGE:Map will change in 12 seconds..,地图将在12秒后更换..,,,,,,
NETMESSAGE:Map will change in 11 seconds..,地图将在11秒后更换..,,,,,,
NETMESSAGE:Map will change in 10 seconds..,地图将在10秒后更换..,,,,,,
NETMESSAGE:Map will change in 9 seconds..,地图将在9秒后更换..,,,,,,
NETMESSAGE:Map will change in 8 seconds..,地图将在8秒后更换..,,,,,,
NETMESSAGE:Map will change in 7 seconds..,地图将在7秒后更换..,,,,,,
NETMESSAGE:Map will change in 6 seconds..,地图将在6秒后更换..,,,,,,
NETMESSAGE:Map will change in 5 seconds..,地图将在5秒后更换..,,,,,,
NETMESSAGE:- ENDING 2 -\n\nVote success! Loading training scenario...,- 结局 2 -\n\n投票成功！加载训练场景...,,,,,,
NETMESSAGE:Map will change in 4 seconds..,地图将在4秒后更换..,,,,,,
NETMESSAGE:Map will change in 3 seconds..,地图将在3秒后更换..,,,,,,
NETMESSAGE:Map will change in 2 seconds..,地图将在2秒后更换..,,,,,,
NETMESSAGE:Map will change in 1 second..,地图将在1秒后更换..,,,,,,
NETMESSAGE:Voting ends in 15 seconds..,投票将在15秒后结束..,,,,,,
NETMESSAGE:Voting ends in 14 seconds..,投票将在14秒后结束..,,,,,,
NETMESSAGE:Voting ends in 13 seconds..,投票将在13秒后结束..,,,,,,
NETMESSAGE:Voting ends in 12 seconds..,投票将在12秒后结束..,,,,,,
NETMESSAGE:Voting ends in 11 seconds..,投票将在11秒后结束..,,,,,,
NETMESSAGE:Voting ends in 10 seconds..,投票将在10秒后结束..,,,,,,
NETMESSAGE:Voting ends in 9 seconds..,投票将在9秒后结束..,,,,,,
NETMESSAGE:Voting ends in 8 seconds..,投票将在8秒后结束..,,,,,,
NETMESSAGE:Voting ends in 7 seconds..,投票将在7秒后结束..,,,,,,
NETMESSAGE:Voting ends in 6 seconds..,投票将在6秒后结束..,,,,,,
NETMESSAGE:Voting ends in 5 seconds..,投票将在5秒后结束..,,,,,,
NETMESSAGE:Voting ends in 4 seconds..,投票将在4秒后结束..,,,,,,
NETMESSAGE:Voting ends in 3 seconds..,投票将在3秒后结束..,,,,,,
NETMESSAGE:Voting ends in 2 seconds..,投票将在2秒后结束..,,,,,,
NETMESSAGE:Voting ends in 1 second..,投票将在1秒后结束..,,,,,,
NETMESSAGE:ERROR: Vote currently in progress! Please wait until the current vote is complete.,错误：投票正在进行中！请等待当前投票结束。,,,,,,
NETMESSAGE:- ENDING 1 -\n\nVote success! Loading training scenario...,- 结局 1 -\n\n投票成功！加载训练场景...,,,,,,
NETMESSAGE:- ENDING 1 -\n\nVote success! Skipping training scenario...,- 结局 1 -\n\n投票成功！跳过训练场景...,,,,,,
NETMESSAGE:- ENDING 3 -\n\nVote success! Loading training scenario...,- 结局 3 -\n\n投票成功！加载训练场景...,,,,,,
NETMESSAGE:- ENDING 3 -\n\nVote success! Skipping training scenario...,- 结局 3 -\n\n投票成功！跳过训练场景...,,,,,,
NETMESSAGE:- ENDING 4 -\n\nThis ending is inaccessible from the hub.\nHINT: ''A code of ten numbers... Is it worth it?'',- 结局 4 -\n\n此结局无法从中心区域进入。\n提示：''一串十位数字……值得吗？'',,,,,,
NETMESSAGE:- RANDOM ENDING -\n\nVote success! Loading training scenario...,- 随机结局 -\n\n投票成功！加载训练场景...,,,,,,
NETMESSAGE:- RANDOM ENDING -\n\nVote success! Skipping training scenario...,- 随机结局 -\n\n投票成功！跳过训练场景...,,,,,,
NETMESSAGE:- CLASSIC -\n\nVote success! Skipping training scenario...,- 经典 -\n\n投票成功！跳过训练场景...,,,,,,
NETMESSAGE:- CLASSIC -\n\nVote success! Loading training scenario...,- 经典 -\n\n投票成功！加载训练场景...,,,,,,
