Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Escapamos! / We escaped!,我们逃出来了！,,,,,,
NETMESSAGE:Perdemos o motor 1! / We have lost engine 1!,我们失去了引擎1！,,,,,,
NETMESSAGE:Conserte o motor 1! / Fix engine 1!,修理引擎1！,,,,,,
NETMESSAGE:Perdemos o motor 2! / We have lost engine 2!,我们失去了引擎2！,,,,,,
NETMESSAGE:Conserte o motor 2! / Fix engine 2!,修理引擎2！,,,,,,
NETMESSAGE:Perdemos os dois motores! / We've lost both engines!,我们失去了两个引擎！,,,,,,
NETMESSAGE://// AIRPORT \ \ \ \   Created by Walter,//// 机场 \ \ \ \   作者：Walter,,,,,,
NETMESSAGE:Vamos todos morrer! / We are all gonna die!,我们都得死！,,,,,,
"NETMESSAGE:Bom trabalho, dirijam-se ao hangar 16 para evacua??o. / Good work, move out to hangar 16 for evacuation.",干得好，前往16号机库进行撤离。,,,,,,
NETMESSAGE:Porta da torre foi aberta. / Tower's door is open.,塔楼的门开了。,,,,,,
NETMESSAGE:Veja! O apache vai cair! / Watchout! The apache is going down!,小心！阿帕奇要坠毁了！,,,,,,
