Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Your team got the bomb.,你的队伍获得了炸弹。,,,,,,
NETMESSAGE:STAGE CLEAR.move to exit door to end this map.,关卡完成。前往出口门以结束此地图。,,,,,,
NETMESSAGE:Starting....,正在开始...,,,,,,
NETMESSAGE:Vote Failed....,投票失败...,,,,,,
NETMESSAGE:35sec to fight.,战斗倒计时35秒。,,,,,,
NETMESSAGE:Horde mode.,尸潮模式。,,,,,,
NETMESSAGE:Ending.,结束。,,,,,,
NETMESSAGE:Round clear.,回合完成。,,,,,,
NETMESSAGE:Map will end in 30secs.,地图将在30秒后结束。,,,,,,
NETMESSAGE:Map by Dr.Abc.,地图作者：Dr.Abc。,,,,,,
NETMESSAGE:Alien Shooter.,异形射手。,,,,,,
NETMESSAGE:Vote Failed.,投票失败。,,,,,,
