Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:The lock is missing to this door.,这扇门没有锁。,,,,,,
NETMESSAGE:The lock is jammed.,锁卡住了。,,,,,,
NETMESSAGE:It's locked from the other side.,另一侧锁住了。,,,,,,
"NETMESSAGE:It's unlocked.
",已解锁。\n,,,,,,
NETMESSAGE:Checkpoint reached..,已到达检查点..,,,,,,
NETMESSAGE:Game will begin in 30 seconds..,游戏将在30秒后开始..,,,,,,
NETMESSAGE:Game will begin in 29 seconds..,游戏将在29秒后开始..,,,,,,
NETMESSAGE:Game will begin in 28 seconds..,游戏将在28秒后开始..,,,,,,
NETMESSAGE:Game will begin in 27 seconds..,游戏将在27秒后开始..,,,,,,
NETMESSAGE:Game will begin in 26 seconds..,游戏将在26秒后开始..,,,,,,
NETMESSAGE:Game will begin in 25 seconds..,游戏将在25秒后开始..,,,,,,
NETMESSAGE:Game will begin in 24 seconds..,游戏将在24秒后开始..,,,,,,
NETMESSAGE:Game will begin in 23 seconds..,游戏将在23秒后开始..,,,,,,
NETMESSAGE:Game will begin in 22 seconds..,游戏将在22秒后开始..,,,,,,
NETMESSAGE:Game will begin in 21 seconds..,游戏将在21秒后开始..,,,,,,
NETMESSAGE:Game will begin in 20 seconds..,游戏将在20秒后开始..,,,,,,
NETMESSAGE:Game will begin in 19 seconds..,游戏将在19秒后开始..,,,,,,
NETMESSAGE:Game will begin in 18 seconds..,游戏将在18秒后开始..,,,,,,
NETMESSAGE:Game will begin in 17 seconds..,游戏将在17秒后开始..,,,,,,
NETMESSAGE:Game will begin in 16 seconds..,游戏将在16秒后开始..,,,,,,
NETMESSAGE:Game will begin in 15 seconds..,游戏将在15秒后开始..,,,,,,
NETMESSAGE:Game will begin in 14 seconds..,游戏将在14秒后开始..,,,,,,
NETMESSAGE:Game will begin in 13 seconds..,游戏将在13秒后开始..,,,,,,
NETMESSAGE:Game will begin in 12 seconds..,游戏将在12秒后开始..,,,,,,
NETMESSAGE:Game will begin in 11 seconds..,游戏将在11秒后开始..,,,,,,
NETMESSAGE:Game will begin in 10 seconds..,游戏将在10秒后开始..,,,,,,
NETMESSAGE:Game will begin in 9 seconds..,游戏将在9秒后开始..,,,,,,
NETMESSAGE:Game will begin in 8 seconds..,游戏将在8秒后开始..,,,,,,
NETMESSAGE:Game will begin in 7 seconds..,游戏将在7秒后开始..,,,,,,
NETMESSAGE:Game will begin in 6 seconds..,游戏将在6秒后开始..,,,,,,
NETMESSAGE:Game will begin in 5 seconds..,游戏将在5秒后开始..,,,,,,
NETMESSAGE:Game will begin in 4 seconds..,游戏将在4秒后开始..,,,,,,
NETMESSAGE:Game will begin in 3 seconds..,游戏将在3秒后开始..,,,,,,
NETMESSAGE:Game will begin in 2 seconds..,游戏将在2秒后开始..,,,,,,
NETMESSAGE:Game will begin in 1 second..,游戏将在1秒后开始..,,,,,,
