Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Game will begin in 30 seconds..,游戏将在 30 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 29 seconds..,游戏将在 29 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 28 seconds..,游戏将在 28 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 27 seconds..,游戏将在 27 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 26 seconds..,游戏将在 26 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 25 seconds..,游戏将在 25 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 24 seconds..,游戏将在 24 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 23 seconds..,游戏将在 23 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 22 seconds..,游戏将在 22 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 21 seconds..,游戏将在 21 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 20 seconds..,游戏将在 20 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 19 seconds..,游戏将在 19 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 18 seconds..,游戏将在 18 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 17 seconds..,游戏将在 17 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 16 seconds..,游戏将在 16 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 15 seconds..,游戏将在 15 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 14 seconds..,游戏将在 14 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 13 seconds..,游戏将在 13 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 12 seconds..,游戏将在 12 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 11 seconds..,游戏将在 11 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 10 seconds..,游戏将在 10 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 9 seconds..,游戏将在 9 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 8 seconds..,游戏将在 8 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 7 seconds..,游戏将在 7 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 6 seconds..,游戏将在 6 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 5 seconds..,游戏将在 5 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 4 seconds..,游戏将在 4 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 3 seconds..,游戏将在 3 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 2 seconds..,游戏将在 2 秒后开始..,,,,,,
NETMESSAGE:Game will begin in 1 second..,游戏将在 1 秒后开始..,,,,,,
NETMESSAGE:Weird.. it won't open now.,奇怪.. 它现在打不开了。,,,,,,
