Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Briefing Computer,简报计算机,,,,,,
NETMESSAGE:Press the button found in each arena.,按下每个竞技场中发现的按钮。,,,,,,
NETMESSAGE:This will allow you to proceed to the final arena.,这将允许你进入最终的竞技场。,,,,,,
"NETMESSAGE:There, you must destroy the crystal to win.",在那里，你必须摧毁水晶才能获胜。,,,,,,
NETMESSAGE:You have obtained access to the final arena!,你已经获得了进入最终竞技场的权限！,,,,,,
NETMESSAGE:Alien Battlefield,外星战场,,,,,,
NETMESSAGE:Military Battlefield,军事战场,,,,,,
NETMESSAGE:Aqua Battlefield,水之战场,,,,,,
NETMESSAGE:Congratulations! You are victorious!,恭喜！你胜利了！,,,,,,
NETMESSAGE:Map created by [CK] }{aVoK and [CK] Sierra Hotel,地图由 [CK] }{aVoK 和 [CK] Sierra Hotel 创建,,,,,,
NETMESSAGE:Final Battlefield Access Room Open!,最终战场访问室已开启！,,,,,,
NETMESSAGE:New Battlefield Open!,新战场已开启！,,,,,,
NETMESSAGE:Something useful has just become available.,一些有用的东西刚刚变得可用。,,,,,,
NETMESSAGE:New Battlefield Open!,新战场已开启！,,,,,,
NETMESSAGE:Blocking Counter-Measures,阻塞反制措施,,,,,,
