Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:DYNAMITE PLANTED!,炸药已安放！,,,,,,
NETMESSAGE:THE BUNKER DOOR HAS BEEN DESTROYED!,地堡门已被摧毁！,,,,,,
NETMESSAGE:THE ANTI-AIRCRAFT FLAK CANNON HAS BEEN DESTROYED!,防空火炮已被摧毁！,,,,,,
NETMESSAGE:A SECRET DOCUMENT HAS BEEN STOLEN!,一份秘密文件已被偷走！,,,,,,
NETMESSAGE:THE ANTI-AIRCRAFT FLAK CANNON HAS BEEN DESTROYED!,防空火炮已被摧毁！,,,,,,
NETMESSAGE:A SECRET DOCUMENT HAS BEEN STOLEN!,一份秘密文件已被偷走！,,,,,,
NETMESSAGE:LOCATE THE WAR DOCUMENTS,定位战争文件,,,,,,
NETMESSAGE:THE WAR DOCUMENTS HAS BEEN STOLEN!,战争文件已被偷走！,,,,,,
NETMESSAGE:LOCATE THE RADIO NEAR EXIT,在出口附近定位电台,,,,,,
NETMESSAGE:TRANSMIT THE WAR DOCUMENTS,传输战争文件,,,,,,
"NETMESSAGE:ALL OBJECTIVES COMPLETE, GO TO EXIT",所有目标已完成，前往出口,,,,,,
NETMESSAGE:DOCUMENTS HAS BEEN TRANSMITTED!,文件已传输完成！,,,,,,
NETMESSAGE:THE FLAG IS CAPTURED!,旗帜已被夺取！,,,,,,
