Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Someone found the secret drunken button and pressed it!,有人找到了秘密醉酒按钮并按下了它！,,,,,,
NETMESSAGE:RED TEAM WINS,红队获胜,,,,,,
NETMESSAGE:BLUE TEAM WINS,蓝队获胜,,,,,,
NETMESSAGE:DRAW,平局,,,,,,
NETMESSAGE:YELLOW TEAM WINS,黄队获胜,,,,,,
NETMESSAGE:GREEN TEAM WINS,绿队获胜,,,,,,
NETMESSAGE:RED TEAM DEAD,红队全灭,,,,,,
NETMESSAGE:BLUE TEAM DEAD,蓝队全灭,,,,,,
NETMESSAGE:GREEN TEAM DEAD,绿队全灭,,,,,,
NETMESSAGE:YELLOW TEAM DEAD,黄队全灭,,,,,,
NETMESSAGE:Round:,回合：,,,,,,
NETMESSAGE:Cuddle with Freeman,与弗里曼拥抱,,,,,,
NETMESSAGE:Bonus Round:,奖励回合：,,,,,,
NETMESSAGE:Slurp!Slurp!Slurp!,吸溜！吸溜！吸溜！,,,,,,
NETMESSAGE:Aim is the key,瞄准是关键,,,,,,
NETMESSAGE:Bulletstorm,子弹风暴,,,,,,
NETMESSAGE:BOOMSTICK,爆裂棍,,,,,,
NETMESSAGE:Total Overload,全面超载,,,,,,
NETMESSAGE:Capture the xen batterys for extra points!,捕获 Xen 电池以获得额外分数！,,,,,,
NETMESSAGE:Bonus Stage:,奖励关卡：,,,,,,
NETMESSAGE:BLUE TEAM SCORED!!!,蓝队得分！！！,,,,,,
NETMESSAGE:RED TEAM SCORED!!!,红队得分！！！,,,,,,
NETMESSAGE:GREEN TEAM SCORED!!!,绿队得分！！！,,,,,,
NETMESSAGE:YELLOW TEAM SCORED!!!,黄队得分！！！,,,,,,
"NETMESSAGE:Game ready, select your team.",游戏就绪，请选择您的队伍。,,,,,,
NETMESSAGE:Lasershow,激光秀,,,,,,
NETMESSAGE:Ping Pong,乒乓球,,,,,,
NETMESSAGE:Rocketjump,火箭跳,,,,,,
NETMESSAGE:Flyby,飞越,,,,,,
NETMESSAGE:Pew Pew,咻咻,,,,,,
NETMESSAGE:Do you saw this ?,你看到了这个吗？,,,,,,
NETMESSAGE:You found 5 research points!,你找到了 5 个研究点！,,,,,,
NETMESSAGE:Bonus Stage:,奖励关卡：,,,,,,
NETMESSAGE:Find the exit-portal to get points!,找到出口传送门以获得分数！,,,,,,
"NETMESSAGE:The flag was captured, get it back!",旗帜被夺走了，夺回来！,,,,,,
NETMESSAGE:Bonus Stage:,奖励关卡：,,,,,,
NETMESSAGE:Capture the Flag for extra points!,夺取旗帜以获得额外分数！,,,,,,
NETMESSAGE:RED TEAM WON THE GAME,红队赢得比赛,,,,,,
NETMESSAGE:BLUE TEAM WON THE GAME,蓝队赢得比赛,,,,,,
NETMESSAGE:GREEN TEAM WON THE GAME,绿队赢得比赛,,,,,,
NETMESSAGE:YELLOW TEAM WON THE GAME,黄队赢得比赛,,,,,,
NETMESSAGE:Bonus Stage:,奖励关卡：,,,,,,
NETMESSAGE:Survival: Headcrab Rampage,生存模式：猎头蟹暴走,,,,,,
NETMESSAGE:Bonus Stage:,奖励关卡：,,,,,,
NETMESSAGE:Survival: Hungry Gargs,生存模式：饥饿的加尔格,,,,,,
NETMESSAGE:Bonus Stage:,奖励关卡：,,,,,,
NETMESSAGE:Survival: Ghosts????,生存模式：幽灵？？？？,,,,,,
"NETMESSAGE:You can exit here, to select a new Team\nOnly do this if the teams are unbalanced!",您可以在此处退出以选择新队伍\n仅在队伍不平衡时执行此操作！,,,,,,
NETMESSAGE:You won 10 points :),你赢得了 10 分 :),,,,,,
NETMESSAGE:Someone found the green secretcube!!!,有人找到了绿色秘密方块！！！,,,,,,
NETMESSAGE:Someone found the red secretcube!!!,有人找到了红色秘密方块！！！,,,,,,
NETMESSAGE:Someone found the yellow secretcube!!!,有人找到了黄色秘密方块！！！,,,,,,
NETMESSAGE:Someone found the blue secretcube!!!,有人找到了蓝色秘密方块！！！,,,,,,
NETMESSAGE:You guys are really a special snowflake!!!!,你们真是特别的小雪花！！！！,,,,,,
NETMESSAGE:Super Round Enabled:,超级回合已启用：,,,,,,
NETMESSAGE:All crystals got replaced.,所有水晶已被替换。,,,,,,
NETMESSAGE:Bonus rounds are disabled,奖励回合已禁用,,,,,,
NETMESSAGE:Superrounds are enabled,超级回合已启用,,,,,,
