Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:You can now climb through the window in the Hanger...,你现在可以爬过机库的窗户了...,,,,,,
NETMESSAGE:Classic will start in 15 seconds...,经典模式将在15秒后开始...,,,,,,
NETMESSAGE:Classic Arcade First Person Shooter,经典街机第一人称射击,,,,,,
NETMESSAGE:Chapter 1:  Eat Your Doom,第一章：吞噬你的厄运,,,,,,
NETMESSAGE:Classic Arcade First Person Shooter,经典街机第一人称射击,,,,,,
NETMESSAGE:Chapter 2:  At Doom's Gate,第二章：在毁灭之门,,,,,,
NETMESSAGE:Classic Arcade First Person Shooter,经典街机第一人称射击,,,,,,
NETMESSAGE:By Joseph G.Ballblue Breeden,作者：Joseph G.Ballblue Breeden,,,,,,
NETMESSAGE:Models By...,模型制作：,,,,,,
NETMESSAGE:Music by...,音乐制作：,,,,,,
"NETMESSAGE:id Software, hi-def versions from DOOM-WORLD","id Software, 高清版来自DOOM-WORLD",,,,,,
NETMESSAGE:Textures By...,纹理制作：,,,,,,
NETMESSAGE:The DOOM2 Retexture Team,DOOM2重纹理团队,,,,,,
NETMESSAGE:Sound Effects By...,音效制作：,,,,,,
NETMESSAGE:Monster Model Skins By...,怪物模型皮肤制作：,,,,,,
NETMESSAGE:Joseph G.Ballblue Breeden (except for two),Joseph G.Ballblue Breeden（除了两个）,,,,,,
"NETMESSAGE:For more credits, please see the classic_credits.txt file!",更多致谢信息，请查看classic_credits.txt文件！,,,,,,
NETMESSAGE:Classic Will Return...,经典模式即将回归...,,,,,,
NETMESSAGE:Chapter 3:  Hiding the Secrets,第三章：隐藏的秘密,,,,,,
NETMESSAGE:Classic Arcade First Person Shooter,经典街机第一人称射击,,,,,,
