Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:You have found a Crystal Key!,你找到了一把水晶钥匙！,,,,,,
"NETMESSAGE:Oh, wait a minute... it was a fake! Dang!",哦，等一下……这是假的！该死！,,,,,,
NETMESSAGE:With the Alien leader finally annihilated we may live in peace again...,随着外星领袖最终被消灭，我们可以再次和平生活了……,,,,,,
NETMESSAGE:...for the moment...,……暂时……,,,,,,
NETMESSAGE:Crystal\nCreated by\nAzShadow,水晶\n由AzShadow创建,,,,,,
NETMESSAGE:You have now reached your destination.,你现在已经到达目的地了。,,,,,,
"NETMESSAGE:However, to open the door you must find two Crystal Keys.",然而，要打开门，你必须找到两把水晶钥匙。,,,,,,
NETMESSAGE:One from an area which requires shooting and fighting skills...,一把来自需要射击和战斗技巧的区域……,,,,,,
NETMESSAGE:...and the other from a place which requires jumping accuracy and teamwork.,……另一把来自需要跳跃精准度和团队合作的地方。,,,,,,
NETMESSAGE:Good luck!,祝你好运！,,,,,,
NETMESSAGE:The gateway to the final battle is now open!,通往最终战斗的大门现已打开！,,,,,,
NETMESSAGE:You have found all Crystal Keys!,你找到了所有水晶钥匙！,,,,,,
NETMESSAGE:You have found a Crystal Key!,你找到了一把水晶钥匙！,,,,,,
NETMESSAGE:A Secret has been revealed!,一个秘密被揭开了！,,,,,,
NETMESSAGE:A strange key has been found...,一把奇怪的钥匙被发现了……,,,,,,
NETMESSAGE:A mysterious portal has opened in the spawn area...,一个神秘的传送门在出生区打开了……,,,,,,
NETMESSAGE:Shortcut has been activated in the puzzle area,捷径已在谜题区域激活,,,,,,
NETMESSAGE:Shortcut has been updated in the puzzle area,捷径已在谜题区域更新,,,,,,
NETMESSAGE:Shortcut has been updated in the puzzle area,捷径已在谜题区域更新,,,,,,
