Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:You have found some TNT!,你找到了一些TNT！,,,,,,
"NETMESSAGE:You have placed the TNT! Get some cover, quick!",你放置了TNT！快找掩护，快！,,,,,,
NETMESSAGE:SYSTEM MALFUNCTION! MAIN COMPUTER ENTRANCE SECURITY IS DISABLED!!!,系统故障！主机入口安全已禁用！！！,,,,,,
NETMESSAGE:You have found The Gauss Key!,你找到了高斯钥匙！,,,,,,
NETMESSAGE:CONTROL ROOM door has been opened,控制室门已打开,,,,,,
NETMESSAGE:You would need some heavy explosives to blow this obstacle...,你需要一些重型炸药来炸开这个障碍...,,,,,,
NETMESSAGE:Uzi is now available at the lobby.,乌兹冲锋枪现在在大厅可用。,,,,,,
NETMESSAGE:Beware the monster that guards it though...,不过要小心守护它的怪物...,,,,,,
NETMESSAGE:A door was opened somewhere...,某处的门被打开了...,,,,,,
NETMESSAGE:Another door was opened somewhere...,另一扇门在某处被打开了...,,,,,,
NETMESSAGE:Greetings! I hope you're here to rescue me.,你好！我希望你是来救我的。,,,,,,
NETMESSAGE:Unfortunately the door's locked so I can't get out by myself...,不幸的是门锁了，我自己出不去...,,,,,,
"NETMESSAGE:But you'll set me free, right?",但你会放我出去，对吧？,,,,,,
NETMESSAGE:Free the scientist (right button) or kill him (left button).,释放科学家（右键）或杀死他（左键）。,,,,,,
NETMESSAGE:You killed the scientist...,你杀了科学家...,,,,,,
NETMESSAGE:The teleporter will take you back to spawn area... OCCUPIED BY  DEADLY MONSTERS!!!,传送器会带你回到出生区...那里被致命怪物占据！！！,,,,,,
NETMESSAGE:Thank you!,谢谢！,,,,,,
NETMESSAGE:The teleporter will take you back to spawn area where a nice surprise awaits you!,传送器会带你回到出生区，那里有个惊喜等着你！,,,,,,
