Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Welcome to WARFORTS! \nFirst time player? Read the MOTD!,欢迎来到 WARFORTS！\n新手玩家？请阅读 MOTD！,,,,,,
NETMESSAGE:You are on the Yellow Team,你加入了黄队,,,,,,
NETMESSAGE:You are on the Blue Team,你加入了蓝队,,,,,,
NETMESSAGE:You have been auto-balanced to the Blue Team,你已被自动平衡到蓝队,,,,,,
NETMESSAGE:You have been auto-balanced to the Yellow Team,你已被自动平衡到黄队,,,,,,
NETMESSAGE:YELLOW TEAM WINS,黄队获胜,,,,,,
NETMESSAGE:BLUE TEAM WINS,蓝队获胜,,,,,,
NETMESSAGE:Blue flag dropped!,蓝旗掉落！,,,,,,
NETMESSAGE:Blue flag returned!,蓝旗已归还！,,,,,,
NETMESSAGE:null,空,,,,,,
NETMESSAGE:null,空,,,,,,
NETMESSAGE:Yellow flag dropped!,黄旗掉落！,,,,,,
NETMESSAGE:Yellow flag returned!,黄旗已归还！,,,,,,
NETMESSAGE:null,空,,,,,,
NETMESSAGE:null,空,,,,,,
NETMESSAGE:null,空,,,,,,
NETMESSAGE:null,空,,,,,,
NETMESSAGE:You already have a sentry gun!,你已经有一门哨戒枪了！,,,,,,
NETMESSAGE:Your sentry gun has been destroyed.,你的哨戒枪已被摧毁。,,,,,,
NETMESSAGE:Replacement sentry not yet available!,替换哨戒枪暂不可用！,,,,,,
NETMESSAGE:Blue Team is now spawning advanced grunts!,蓝队现在正在生成高级步兵！,,,,,,
NETMESSAGE:Yellow Team is now spawning advanced grunts!,黄队现在正在生成高级步兵！,,,,,,
NETMESSAGE:Blue Team's front door has been destroyed!,蓝队的前门已被摧毁！,,,,,,
NETMESSAGE:Yellow Team's front door has been destroyed!,黄队的前门已被摧毁！,,,,,,
NETMESSAGE:Blue Team's right side shields are down!,蓝队的右侧护盾已失效！,,,,,,
NETMESSAGE:Blue Team's left side shields are down!,蓝队的左侧护盾已失效！,,,,,,
NETMESSAGE:Yellow Team's right side shields are down!,黄队的右侧护盾已失效！,,,,,,
NETMESSAGE:Yellow Team's left side shields are down!,黄队的左侧护盾已失效！,,,,,,
NETMESSAGE:Blue Team captures the bunker!,蓝队占领了地堡！,,,,,,
NETMESSAGE:Yellow Team captures the bunker!,黄队占领了地堡！,,,,,,
NETMESSAGE:YOU HAVE DIED \nHold the USE key to change your class,你已死亡 \n按住 USE 键以更换职业,,,,,,
