Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Sector D 01 Override-Cartridge picked up,已拾取 D 01 区覆盖卡带,,,,,,
NETMESSAGE:D 01 Override-Cartridge required,需要 D 01 覆盖卡带,,,,,,
NETMESSAGE:Secret area found,发现秘密区域,,,,,,
NETMESSAGE:Secret bunker unrevealed!,秘密掩体未揭露！,,,,,,
NETMESSAGE:Ancient burial mound discovered!,发现古代墓葬堆！,,,,,,
NETMESSAGE:The Artifact of Durga has been found!,杜尔加神器已找到！,,,,,,
NETMESSAGE:Sector 792 Override-Cartridge picked up,已拾取 792 区覆盖卡带,,,,,,
NETMESSAGE:792 Override-Cartridge required,需要 792 覆盖卡带,,,,,,
NETMESSAGE:UM V45 Override-Cartridge required,需要 UM V45 覆盖卡带,,,,,,
NETMESSAGE:Sector UM V45 Override-Cartridge picked up,已拾取 UM V45 区覆盖卡带,,,,,,
NETMESSAGE:NT 05 Override-Cartridge required,需要 NT 05 覆盖卡带,,,,,,
"NETMESSAGE:Toggles map intro and gameplay hint screens.\nRecommended to be left ON.\nUnless you just restarted the map, due to crash, or some fuckup and so on.",切换地图介绍和游戏提示画面。\n建议保持开启。\n除非你刚刚由于崩溃或某些搞砸等原因重开地图。,,,,,,
"NETMESSAGE:Throws more monsters around the map, for that extra 'experience'",在地图中投放更多怪物，以增加额外'体验',,,,,,
NETMESSAGE:Red doors unlocked,红色门已解锁,,,,,,
NETMESSAGE:Green doors unlocked,绿色门已解锁,,,,,,
"NETMESSAGE:Blue keyframe activated. Sector D 01 rocket terminal unlocked.\n(Once you activate terminal, there is no turning back)",蓝色关键帧已激活。D 01 区火箭终端已解锁。\n（一旦激活终端，便无法回头）,,,,,,
NETMESSAGE:Red key has been found.,已找到红色钥匙。,,,,,,
NETMESSAGE:Green key has been found.,已找到绿色钥匙。,,,,,,
NETMESSAGE:Blue key has been found.,已找到蓝色钥匙。,,,,,,
NETMESSAGE:The Artifact of Dark Nebula has been found!,暗星云神器已找到！,,,,,,
NETMESSAGE:The Artifact of Ultra Monster has been found!,超级怪物神器已找到！,,,,,,
NETMESSAGE:The Artifact of Sledge has been found!,巨锤神器已找到！,,,,,,
NETMESSAGE:The Artifact of Wrath1 has been found!,愤怒1神器已找到！,,,,,,
NETMESSAGE:The Artifact of Hostile Planet has been found!,敌对星球神器已找到！,,,,,,
NETMESSAGE:The Artifact of Night has been found!,暗夜神器已找到！,,,,,,
NETMESSAGE:The First Artifact of UNI has been found!,首个 UNI 神器已找到！,,,,,,
NETMESSAGE:Sector HP 21 01 Override-Cartridge picked up,已拾取 HP 21 01 区覆盖卡带,,,,,,
NETMESSAGE:Sector NT 05 Override-Cartridge picked up,已拾取 NT 05 区覆盖卡带,,,,,,
NETMESSAGE:HP 21 01 Override-Cartridge required,需要 HP 21 01 覆盖卡带,,,,,,
NETMESSAGE:The Artifact of Ragemap 2016 has been found!\n(That was embarrassingly easy for now),Ragemap 2016 神器已找到！\n（目前看来简单得令人尴尬）,,,,,,
NETMESSAGE:SL TUR Override-Cartridge required,需要 SL TUR 覆盖卡带,,,,,,
NETMESSAGE:Sector SL TUR Override-Cartridge picked up,已拾取 SL TUR 区覆盖卡带,,,,,,
NETMESSAGE:Rocket launch countdown starting in 3 seconds...,火箭发射倒计时 3 秒后开始...,,,,,,
NETMESSAGE:Vertically Shaped Gate-Keycard picked up,已拾取垂直形门钥匙卡,,,,,,
"NETMESSAGE:'Pistol 18'\nClearly a 21st century police pistol lost in time, manufacturer scratched off but looks like a Glock\nPrimary: Single-shot\nSecondary: 3-Round burst\nAmmo: Pistol Rounds",'手枪 18'\n显然是一把迷失在时间中的21世纪警用手枪，制造商信息被刮去，但看起来像格洛克\n主要开火：单发\n次要开火：三发点射\n弹药：手枪子弹,,,,,,
"NETMESSAGE:Deluge Scattergun\nOld beast from the deluge times, now comes with zero reload, only boom boom\nPrimary: Buckshot\nSecondary: N/A (Removed in beta due to being buggy)\nAmmo: Shotgun Shells",大洪水霰弹枪\n来自大洪水时代的古老猛兽，现在无需装弹，只有砰砰\n主要开火：鹿弹\n次要开火：无（因 bug 在测试版中移除）\n弹药：霰弹枪弹壳,,,,,,
"NETMESSAGE:The 2040 Scraping Tommy\nOld Thompson overgone some eerily destructive futuristic treatment. Now also packs an generator and grenade launcher, oh shit.\nPrimary: Automatic fire\nSecondary: Grenade\nAmmo: SMG Rounds / Alien Beacon Red Energy",2040 刮削汤米\n老汤普森经历了一些诡异的毁灭性未来处理。现在还装有一个发电机和榴弹发射器，哦靠。\n主要开火：自动射击\n次要开火：榴弹\n弹药：冲锋枪子弹 / 异星信标红色能量,,,,,,
"NETMESSAGE:The Webley Railgun\nOld Webley revolver tuned up as an coil-powered, plasma-firing contraption. Got something extremely fierce in our hands!\nPrimary: Explosive plasma projectile\nSecondary: Bigger, charged blast\nAmmo: Fusion Cells / Alien Beacon Red Energy",韦伯利轨道炮\n老式韦伯利左轮手枪被改装成线圈驱动、发射等离子体的玩意儿。我们手里有极其凶猛的东西！\n主要开火：爆炸性等离子射弹\n次要开火：更大的蓄力爆射\n弹药：融合电池 / 异星信标红色能量,,,,,,
NETMESSAGE:Mobile Lab Unit 792\n2040,移动实验室单元 792\n2040,,,,,,
NETMESSAGE:Hangar D 01\n1972,机库 D 01\n1972,,,,,,
NETMESSAGE:Underground Server Bunker and Mainframe UM V45\n1998,地下服务器掩体与主机 UM V45\n1998,,,,,,
NETMESSAGE:Surveillance Unit NT 05\n2018,监控单元 NT 05\n2018,,,,,,
NETMESSAGE:Laser Data Router HP 21 01\n2029,激光数据路由器 HP 21 01\n2029,,,,,,
NETMESSAGE:Biohazard Storage\n2033,生物危害存储\n2033,,,,,,
NETMESSAGE:Outer Fortification\n2033,外围防御工事\n2033,,,,,,
NETMESSAGE:Experimental Lab Reactor SL TUR\n1999,实验实验室反应堆 SL TUR\n1999,,,,,,
NETMESSAGE:Derelict Ionian Palace\n2918,废弃的爱奥尼亚宫殿\n2918,,,,,,
NETMESSAGE:Anomalous Item unveiled in UM V45,UM V45 中出现异常物品,,,,,,
NETMESSAGE:Anomalous Item unveiled in HP 21 01,HP 21 01 中出现异常物品,,,,,,
"NETMESSAGE:- dis_barney -\nBarney M. Black\nFormer Security guard. Expert marksman and BASIC programmer. Die hard beer lover, especially small breweries.\nTimeline: 1987",- dis_barney -\n巴尼·M·布莱克\n前保安。神枪手和 BASIC 程序员。顽固的啤酒爱好者，尤其喜欢小型酿酒厂。\n时间线：1987,,,,,,
"NETMESSAGE:- dis_ratty -\n'Ratty'\nReckless failed experiment, freelance artist, and generally a miserable being. Obsessed with big guns and small sketchbooks.\nTimeline: 2029",- dis_ratty -\n'拉蒂'\n鲁莽的失败实验品、自由艺术家，通常是个悲惨的存在。痴迷于大枪和小速写本。\n时间线：2029,,,,,,
"NETMESSAGE:- dis_kate -\nKatalin 'Kate' G. Colette\nFilm producer and army veteran. Doesnt take shit, will either give you upmost honest critique or boot in da face.\nTimeline: 2002",- dis_kate -\n卡塔琳·'凯特'·G·科莱特\n电影制片人兼退伍军人。不吃这套，要么给你最诚实的批评，要么一脚踹脸。\n时间线：2002,,,,,,
"NETMESSAGE:- dis_gman -\nBiography Classified\nMysterious Multi-millionaire business owner with now interdimensional powers. Gentleman, and a chainsmoker.\nNot G-Man of Black Mesa\nTimeline: 1998",- dis_gman -\n传记保密\n神秘的千万富翁企业主，拥有跨维度力量。绅士，且烟不离手。\n并非黑山的 G-Man\n时间线：1998,,,,,,
"NETMESSAGE:- dis_mad -\nBarniel 'Gauss'riel Condor Slayer Third in The Mad Emperor's Name, Queen of The Ones Who Hunt The Eye Who Hide Inside The Walls'\nNothing she loves more than scavenging and killing shit. Also rodents\nTimeline: Unknown",- dis_mad -\n巴尼尔·'高斯'里尔·秃鹫杀手三世以疯狂皇帝之名，隐藏于墙内的猎眼者们的女王\n她最喜欢的就是拾荒和杀戮。还有啮齿动物。\n时间线：未知,,,,,,
"NETMESSAGE:- dis_condor -\nAktok Ipprok Nenilleelekrep II\nThe Ionian Condor never dies, but hes getting tired of the same shit. First time reincarnated as an ally. Still nefarious and vulgar.\nTimeline: No consistent timeline",- dis_condor -\n阿克托克·伊普罗克·尼尼尔勒克雷普二世\n爱奥尼亚秃鹫不死，但他已经厌倦了同样的破事。第一次转生为盟友。仍然邪恶粗俗。\n时间线：无一致时间线,,,,,,
"NETMESSAGE:- dis_gordon -\nG.F. Freierburger\nLong lost cousin of Gordon. Batshit crazy scientist, and 'musician'.\nTimeline: 2010",- dis_gordon -\nG.F. 弗雷尔伯格\n戈登的失散已久的表亲。疯狂至极的科学家和'音乐家'。\n时间线：2010,,,,,,
NETMESSAGE:sprt found himself here in some point.\nSo felt obligation to fill with random goddamn monster cus what else there is to add,sprt 曾经在某时发现自己在这里。\n所以觉得有义务用随机的该死的怪物填充，因为还能加什么呢,,,,,,
NETMESSAGE:- Rigged Console -\nD 01 Rocket Test requires 3 keys inserted in the mainframe.\nThen 3 safety switches activated same time.,- 作弊控制台 -\nD 01 火箭测试需要在主机中插入 3 把钥匙。\n然后同时激活 3 个安全开关。,,,,,,
"NETMESSAGE:You already launched the rocket, there is no purpose to this area anymore.\nSince your after artifacts, in order to get the last one: a tree needs to be handled",你已经发射了火箭，这片区域不再有任何用途。\n既然你追寻神器，为了得到最后一个：需要处理一棵树。,,,,,,
NETMESSAGE:Too fucking tired for this shit,他妈太累了，搞这些破事,,,,,,
NETMESSAGE:Too fucking old for this shit,他妈太老了，搞这些破事,,,,,,
NETMESSAGE:Gallery\nDate Unknown,画廊\n日期未知,,,,,,
NETMESSAGE:Toggles really short camera cutscenes in the map.\nMainly happens on couple of events and certain doors unlocked.,切换地图中非常短的过场动画。\n主要发生在少数事件和特定门解锁时。,,,,,,
NETMESSAGE:The undesired hidden gallery has been found,已经发现了不想要的隐藏画廊,,,,,,
"NETMESSAGE:RNG\n- The Map\n- Sounds, Soundmixes, Korg Monologue shit\n- Modelhacks, and some models\n- Special textures and drawings\n- Mental Breakdowns\n- 'Music'",RNG\n- 地图\n- 声音、音效混合、Korg Monologue 之类\n- 模型修改和一些模型\n- 特殊纹理和绘画\n- 精神崩溃\n- '音乐',,,,,,
NETMESSAGE:w00tguy - Weapon_custom system and troubleshooting\nGarompa - 'Huge members pack' for certain NPC models.,w00tguy - 自定义武器系统和故障排除\nGarompa - 某些 NPC 模型的'巨大成员包'。,,,,,,
"NETMESSAGE:Playtesters\n - Streamfox\n - MirroR\n - w00tguy\n - sprt\n - Zode\n - Colt\n - Trempler\n - Sence\n - Windawz\n - greenchocolate\n - And some invited, and uninvited quests",测试玩家\n - Streamfox\n - MirroR\n - w00tguy\n - sprt\n - Zode\n - Colt\n - Trempler\n - Sence\n - Windawz\n - greenchocolate\n - 以及一些受邀和未受邀的访客,,,,,,
"NETMESSAGE:End of First Beta.\nWhen your done snooping around:\npress the 2 buttons to open the final door.\nPart B not included in this release.\nDont forget to check the items on tables, they give you some map info.",第一次测试版结束。\n当你完成四处窥探后：\n按下两个按钮打开最后的门。\nB 部分不包含在此版本中。\n别忘了检查桌子上的物品，它们会给你一些地图信息。,,,,,,
"NETMESSAGE:This wall lists all the Override Cartridges you have found, and inserted in sockets.",这面墙列出了你已找到并插入插槽的所有覆盖卡带。,,,,,,
"NETMESSAGE:These Artifacts when found, appear as 'Remake' map images in this gallery",这些神器被找到时，会以'重制'地图图像的形式出现在这个画廊中。,,,,,,
"NETMESSAGE:Every regular secret has its own torch, which lights up when you find it.",每个常规秘密都有自己的火炬，当你找到它时会亮起。,,,,,,
"NETMESSAGE:What this vessel contains shall remain a mystery, until next episode.",这个容器中所含的内容将保持神秘，直到下一集。,,,,,,
