Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Sequence 9\n\nECHOES,序列9\n\n回声,,,,,,
NETMESSAGE:HALF-LIFE: ECHOES\n\n\nCreated by\nJames Coburn,半衰期：回声\n\n\n制作人\n詹姆斯·科伯恩,,,,,,
NETMESSAGE:SUBJECT:\n\nCandidate #12\n\n\n\nSTATUS:\n\nEvaluation period complete.,对象：\n\n候选人 #12\n\n\n\n状态：\n\n评估期结束。,,,,,,
NETMESSAGE:OUTCOME:\n\nSubject unsuitable for employment.\n\n\n\nRATIONALE:\n\nCandidate #12 demonstrated keen ability\nbut was susceptible to external influence.,结果：\n\n对象不适合录用。\n\n\n\n理由：\n\n候选人 #12 展现了敏锐的能力，\n但容易受到外部影响。,,,,,,
NETMESSAGE:POSTSCRIPT:\n\nCandidate #01\nExtracted.\n\nCandidate #03\nHired.\n\nCandidate #07\nDetained.\n\n\nAll other candidates dismissed.\nAwaiting further instructions...\n,附注：\n\n候选人 #01\n已提取。\n\n候选人 #03\n已录用。\n\n候选人 #07\n已拘留。\n\n\n所有其他候选人已被驳回。\n等待进一步指示...\n,,,,,,
NETMESSAGE:SUPPORT AND BETA TESTING\n\nThe Whole Half-Life\nhttp://twhl.info/\n\nThe Beta Testers Collective\nhttp://betatesterscollective.com/\n\nLewis Anderson\nDoug Maclean\nRoss Mathieson\n\nThe following users at Moddb.com\nTrempler\nGunship_Mark_II\nUrbaNebula\nQwertyus\nCrypt\nBurnerMan\nUnq\nSolokiller\nGeckonCZ,支持与测试\n\nThe Whole Half-Life\nhttp://twhl.info/\n\nThe Beta Testers Collective\nhttp://betatesterscollective.com/\n\n刘易斯·安德森\n道格·麦克林\n罗斯·马西森\n\n以下Moddb.com用户\nTrempler\nGunship_Mark_II\nUrbaNebula\nQwertyus\nCrypt\nBurnerMan\nUnq\nSolokiller\nGeckonCZ,,,,,,
NETMESSAGE:ENGINE AND EDITING TOOLS\n\nSpirit of Half-Life 1.5\n(With various edits to source code by myself)\nhttp://www.moddb.com/mods/spirit-of-half-life\n\nVHLT compiling tools\nhttps://forums.svencoop.com/forumdisplay.php/217-Vluzacn-s-Map-Compile-Tools\n\nJackhammer editor\nhttp://jackhammer.hlfx.ru/en/,引擎与编辑工具\n\nSpirit of Half-Life 1.5\n（本人对源代码进行了各种修改）\nhttp://www.moddb.com/mods/spirit-of-half-life\n\nVHLT 编译工具\nhttps://forums.svencoop.com/forumdisplay.php/217-Vluzacn-s-Map-Compile-Tools\n\nJackhammer 编辑器\nhttp://jackhammer.hlfx.ru/en/,,,,,,
NETMESSAGE:TEXTURES AND SPRITES\n\nNightwatch Textures\nhttp://www.moddb.com/games/half-life/addons/nightwatch-texture-pack\n\nBlood Decals\nhttp://gamebanana.com/sprites/253\n\nHD Skyboxes\nhttps://gamebanana.com/textures/download/406\n\nAdditional Sprites\nhttps://gamebanana.com/effects/download/5753,纹理与精灵\n\nNightwatch Textures\nhttp://www.moddb.com/games/half-life/addons/nightwatch-texture-pack\n\nBlood Decals\nhttp://gamebanana.com/sprites/253\n\nHD Skyboxes\nhttps://gamebanana.com/textures/download/406\n\nAdditional Sprites\nhttps://gamebanana.com/effects/download/5753,,,,,,
NETMESSAGE:MODELS\n\nValve Software / Gearbox Software / Rewolf Software\nWornz\nAmbient.Impact\nRomka\narahu01\nMarphy Black\nDecay team \nEnfield\nSuper Definition\nArachnid-X\nChubby\nFury_161\nGaming Lord\nSzarak\nS@bre\nRomka\nBesli\nCro-man / Davor\nQwertyus\n\nPlease read the credits.txt in the\nREADME folder for a more detailed list.,模型\n\nValve Software / Gearbox Software / Rewolf Software\nWornz\nAmbient.Impact\nRomka\narahu01\nMarphy Black\nDecay team \nEnfield\nSuper Definition\nArachnid-X\nChubby\nFury_161\nGaming Lord\nSzarak\nS@bre\nRomka\nBesli\nCro-man / Davor\nQwertyus\n\n请阅读 README 文件夹中的 credits.txt\n以获取更详细的列表。,,,,,,
"NETMESSAGE:SOUNDTRACK\n\nVarious replacement sounds by Valve Software, Gearbox Software\nMany edited / remixed by myself\n\nAdditional sounds from\n\nhttp://www.soundjay.com/\nhttp://www.freesound.org/browse/\n\n\nAll music created by Kevin MacLeod - Incompetech.com \n\nVery Low Note\nAnxiety\nMechanolith\nControlled Chaos - no percussion \nControlled Chaos\n\nIt is Lost\nAftermath\nRedletter\nUnseen Horrors\nJunkyard Tribe\nDeep Noise\nSpacial Winds\nBump in the Night\nHush\nBent and Broken\nStatic Motion\n\nAll Licensed under Creative Commons: By Attribution 3.0 License\nhttp://creativecommons.org/licenses/by/3.0/","原声带\n\n各种替换音效由 Valve Software, Gearbox Software 提供\n许多由本人编辑/混音\n\n额外音效来自\n\nhttp://www.soundjay.com/\nhttp://www.freesound.org/browse/\n\n\n所有音乐由 Kevin MacLeod - Incompetech.com 创作\n\nVery Low Note\nAnxiety\nMechanolith\nControlled Chaos - no percussion \nControlled Chaos\n\nIt is Lost\nAftermath\nRedletter\nUnseen Horrors\nJunkyard Tribe\nDeep Noise\nSpacial Winds\nBump in the Night\nHush\nBent and Broken\nStatic Motion\n\n所有曲目基于知识共享署名3.0许可\nhttp://creativecommons.org/licenses/by/3.0/",,,,,,
