Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:You got sword!,你得到了剑！,,,,,,
NETMESSAGE:I am third,我是第三,,,,,,
"NETMESSAGE:Beginning from me ,end at me",从我开始，到我结束,,,,,,
NETMESSAGE:I am seccend,我是第二,,,,,,
NETMESSAGE:I am fourth,我是第四,,,,,,
NETMESSAGE:I hate you,我恨你,,,,,,
NETMESSAGE:You are hapless,你真倒霉,,,,,,
NETMESSAGE:Your tame got key of Boss room,你的队伍得到了Boss房的钥匙,,,,,,
NETMESSAGE:You got hammer!,你得到了锤子！,,,,,,
NETMESSAGE:You got bomb!,你得到了炸弹！,,,,,,
NETMESSAGE:attractive rupee,吸引人的卢比,,,,,,
NETMESSAGE:You got bow!,你得到了弓！,,,,,,
NETMESSAGE:scenery is not ture,景色不真实,,,,,,
