Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Hack successful! You now have access to medstations.,入侵成功！你现在可以访问医疗站。,,,,,,
NETMESSAGE:Hack successful! Automatic base defenses have been deactivated.,入侵成功！基地自动防御已关闭。,,,,,,
NETMESSAGE:Hack successful! You can now teleport in extra reinforcements.,入侵成功！你现在可以传送额外增援。,,,,,,
NETMESSAGE:Hack successful! You now have access to the underground tunnels.,入侵成功！你现在可以进入地下隧道。,,,,,,
NETMESSAGE:Incoming enemy reinforcements in Sector A,A区有敌方增援来袭,,,,,,
NETMESSAGE:Incoming enemy reinforcements in Sector B,B区有敌方增援来袭,,,,,,
NETMESSAGE:Incoming enemy reinforcements in Sector C,C区有敌方增援来袭,,,,,,
NETMESSAGE:Incoming enemy reinforcements in Sector D,D区有敌方增援来袭,,,,,,
NETMESSAGE:Enemy Commander has been killed! Enemy reinforcements disrupted for 1 minute.,敌方指挥官已被击杀！敌方增援中断1分钟。,,,,,,
NETMESSAGE:Incoming allied Alien Slave reinforcements at Insertion Point A!,友军外星奴隶增援即将抵达插入点A！,,,,,,
NETMESSAGE:Incoming allied Alien Grunts reinforcements at Insertion Point A!,友军外星步兵增援即将抵达插入点A！,,,,,,
NETMESSAGE:Incoming allied Human Grunts reinforcements at Insertion Point B!,友军人类步兵增援即将抵达插入点B！,,,,,,
NETMESSAGE:Incoming allied Assassin reinforcements at Insertion Point B!,友军刺客增援即将抵达插入点B！,,,,,,
NETMESSAGE:Incoming allied Robot Grunt reinforcements at Insertion Point B!,友军机器人步兵增援即将抵达插入点B！,,,,,,
NETMESSAGE:Incoming allied Baby Garg reinforcements at Insertion Point A!,友军幼年加格增援即将抵达插入点A！,,,,,,
NETMESSAGE:Incoming allied Tor reinforcement at Insertion Point A!,友军托尔增援即将抵达插入点A！,,,,,,
NETMESSAGE:Incoming enemy tower reinforcements!,敌方塔楼增援来袭！,,,,,,
NETMESSAGE:Incoming bombardment.,即将遭受炮击。,,,,,,
NETMESSAGE:Cost per person: \nTotal amount of loadouts affordable with these settings:,每人成本：\n可用这些设置购买的装备总数：,,,,,,
NETMESSAGE:Easy Difficulty selected.,已选择简单难度。,,,,,,
NETMESSAGE:Normal Difficulty selected.,已选择普通难度。,,,,,,
NETMESSAGE:Difficulty not selected.,未选择难度。,,,,,,
NETMESSAGE:Hard Difficulty selected.,已选择困难难度。,,,,,,
NETMESSAGE:Ultra Hard Difficulty selected.,已选择极难难度。,,,,,,
NETMESSAGE:Survival Mode activated. Select a difficulty setting.,生存模式已激活。请选择难度设定。,,,,,,
NETMESSAGE:Incoming enemy Apache reinforcement.,敌方阿帕奇增援来袭。,,,,,,
NETMESSAGE:Survival Mode not activated.,生存模式未激活。,,,,,,
NETMESSAGE:Commander has been ejected and summarily executed.,指挥官已被弹射并即决处决。,,,,,,
NETMESSAGE:Commander retained.,指挥官留任。,,,,,,
NETMESSAGE:Please select a new Commander.,请选择新指挥官。,,,,,,
NETMESSAGE:A Commander has been selected.,已选定指挥官。,,,,,,
"NETMESSAGE:Teleports have been activated. The assault has begun, move in!",传送门已启动。突击开始，前进！,,,,,,
NETMESSAGE:Vote failed. The mission will continue.,投票失败。任务将继续。,,,,,,
NETMESSAGE:Vote succeeded. The mission has been aborted.,投票成功。任务已中止。,,,,,,
NETMESSAGE:Total credits:,总积分：,,,,,,
NETMESSAGE:Tele-Charge available:,传送充能可用：,,,,,,
NETMESSAGE:You have less than 500 credits left. The Commander can now call a vote to abort the mission.,你剩余积分不足500。指挥官现在可以发起投票中止任务。,,,,,,
NETMESSAGE:Total credits:,总积分：,,,,,,
"NETMESSAGE:Knob1 Angles : ",旋钮1角度：,,,,,,
