Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Meal begins in\n30 seconds,用餐将在\n30秒后开始,,,,,,
NETMESSAGE:Meal begins in\n20 seconds,用餐将在\n20秒后开始,,,,,,
NETMESSAGE:Meal begins in\n10 seconds,用餐将在\n10秒后开始,,,,,,
NETMESSAGE:hlbar_canteen\nMade by GreenTea\nThanks For Playing!>w<,hlbar_canteen\n由GreenTea制作\n感谢游玩！>w<,,,,,,
NETMESSAGE:Meal1:Headcrab,餐点1:猎头蟹,,,,,,
NETMESSAGE:Meal2:baby_voltigore,餐点2:伏地冈幼体,,,,,,
NETMESSAGE:Meal3:houndeye,餐点3:猎犬眼,,,,,,
NETMESSAGE:Meal4:bullsquid,餐点4:公牛鲨,,,,,,
NETMESSAGE:Meal5:pit_drone,餐点5:坑道无人机,,,,,,
NETMESSAGE:Meal6:ichthyosaur,餐点6:鱼龙,,,,,,
NETMESSAGE:Meal7:voltigore,餐点7:伏地冈,,,,,,
NETMESSAGE:Meal8:kingpin,餐点8:头目,,,,,,
NETMESSAGE:Game end in\n90 seconds,游戏将在\n90秒后结束,,,,,,
NETMESSAGE:Welcome!!~ >w<,欢迎！！~ >w<,,,,,,
