Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Alien presence detected. Facility surrounded. Defense required.,检测到异星存在。设施被包围。需要防御。,,,,,,
NETMESSAGE:Round Two,第二轮,,,,,,
NETMESSAGE:Round Three,第三轮,,,,,,
NETMESSAGE:Round Four,第四轮,,,,,,
NETMESSAGE:Round Five,第五轮,,,,,,
NETMESSAGE:Round Six,第六轮,,,,,,
NETMESSAGE:Round Seven,第七轮,,,,,,
NETMESSAGE:Round Eight,第八轮,,,,,,
NETMESSAGE:Round Nine,第九轮,,,,,,
NETMESSAGE:Final Round,最后一轮,,,,,,
NETMESSAGE:Use paradropped truck to vacate the facility .,使用空降卡车撤离设施。,,,,,,
NETMESSAGE:Round 1,第一轮,,,,,,
