Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:You found a secret area!,你发现了一个秘密区域！,,,,,,
NETMESSAGE:Red key has been found.\nFinding keys also unlock checkpoints at start,红钥匙已找到。\n找到钥匙也会解锁起始处的检查点,,,,,,
NETMESSAGE:Blue key has been found,蓝钥匙已找到,,,,,,
NETMESSAGE:Green key has been found,绿钥匙已找到,,,,,,
NETMESSAGE:This door requires Red Key,这扇门需要红钥匙,,,,,,
NETMESSAGE:This door requires Green Key,这扇门需要绿钥匙,,,,,,
NETMESSAGE:This door requires Blue Key,这扇门需要蓝钥匙,,,,,,
NETMESSAGE:Destroying security locks unlock doors with red holograms on them,摧毁安全锁会解锁带有红色全息图的门,,,,,,
NETMESSAGE:Security locks disengaged in hallways,走廊中的安全锁已解除,,,,,,
NETMESSAGE:Moon Outpost with Inedible Foliage,月球前哨站与不可食用的树叶,,,,,,
NETMESSAGE:Swamped Hallways and Contraptions,沼泽走廊与装置,,,,,,
NETMESSAGE:Security locks disengaged in large warehouse,大型仓库中的安全锁已解除,,,,,,
NETMESSAGE:Harvest of an Ancient Cube,古老立方体的收割,,,,,,
NETMESSAGE:Bacillus City I,杆菌城市 I,,,,,,
NETMESSAGE:The goddamn beefed up Colt magnum has been found! About time for some motherfucking firepower!\nAlso Breadbag The Friendly Hagfish has been found.,该死的增强版柯尔特马格南已找到！是该有他妈的火力了！\n还有面包袋友善的盲鳗也已找到。,,,,,,
NETMESSAGE:Secret dissection room has been found!,秘密解剖室已找到！,,,,,,
NETMESSAGE:Camera surveillance has been disabled.\nA door in Cafeteria has unlocked,摄像头监控已禁用。\n自助餐厅的一扇门已解锁,,,,,,
NETMESSAGE:Red Laser fields disabled.,红色激光区域已禁用。,,,,,,
NETMESSAGE:Some Deserter: Hiding from all the surveillance and my squad. All of them can smother in hot fucking shit.\n I hope this letter isnt rolling around where it shouldnt though,某个逃兵：躲开所有监控和我的队员。他们都该在热他妈的大便里窒息。\n 希望这封信没有滚到不该去的地方,,,,,,
NETMESSAGE:Holy shit the Dual Glocks have been found! time to spray bullets like fucking mad or something.,我操，双持格洛克已找到！是时候像他妈疯了一样扫射了。,,,,,,
NETMESSAGE:Interdimensional peeking dealt with.\nSomething happened in the Computer room,跨维度窥探已处理。\n电脑室里发生了什么事,,,,,,
NETMESSAGE:The sad metal infused beings are now eating the gravel.\nSwampy substance blocking the door has crumbled away.,那些悲惨的金属融合生物正在吃碎石。\n阻挡门口的沼泽物质已碎裂消失。,,,,,,
NETMESSAGE:Scribble 4 of 4: Loops of IO v1\n(A one shitty 'soundtrack'),涂鸦4/4：IO的循环 v1\n（一个烂透了的“音轨”）,,,,,,
NETMESSAGE:Scribble 1 of 4: Wannabe Raptor\n(Just for sake of using pink color),涂鸦1/4：伪迅猛龙\n（只是为了用粉色）,,,,,,
NETMESSAGE:Scribble 3 of 4: Thumbguy Deciphers Lorem Ipsum (Moon Version),涂鸦3/4：拇指男解密 Lorem Ipsum（月球版）,,,,,,
NETMESSAGE:Scribble 2 of 4: Beast,涂鸦2/4：野兽,,,,,,
NETMESSAGE:Swampy substance blocking the Red door has melted away,阻挡红门的沼泽物质已融化消失,,,,,,
NETMESSAGE:Swampy substance blocking the Blue door has melted away,阻挡蓝门的沼泽物质已融化消失,,,,,,
