Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:The Silver key opened the door !,银钥匙打开了门！,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:The button opened a gate somewhere...,按钮打开了某处的门...,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:You can now pass this door...,你现在可以通过这扇门了...,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:1 more to go...,还剩1个...,,,,,,
NETMESSAGE:Sequence completed,序列完成,,,,,,
NETMESSAGE:The gold key is right in this hole ! Get it !,金钥匙就在这个洞里面！拿到它！,,,,,,
NETMESSAGE:The Gold key opened the door !,金钥匙打开了门！,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:1 more to go...,还剩1个...,,,,,,
NETMESSAGE:Sequence completed,序列完成,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:You've got the Scroll ! Watch out ! Here's the warden !!,你拿到了卷轴！小心！典狱长来了！！,,,,,,
NETMESSAGE:Your Holy nails shall ban them all !,你的圣钉将驱逐他们全部！,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
NETMESSAGE:The stars are right once more.. Immortality awaits... - Contract Revoked,星辰再次归位..不朽在等待... - 契约撤销,,,,,,
NETMESSAGE:A shortcut has been activated...,一条捷径已激活...,,,,,,
NETMESSAGE:A SlipGater has found a secret !,一名穿越门者找到了一个秘密！,,,,,,
