Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Power Crystal malfunction doors opening.,能量水晶故障，门正在打开。,,,,,,
NETMESSAGE:You must find the keycard to unlock the powercube to the right of the spawn!,你必须找到钥匙卡才能解锁出生点右侧的能量立方体！,,,,,,
NETMESSAGE:Shadows at the spawn have been awakend!,出生点的阴影已被唤醒！,,,,,,
NETMESSAGE:The shadows have been defeated!\n\nGood thing thats the last of them...,阴影已被击败！\n\n还好那是最后一个……,,,,,,
NETMESSAGE:Oh no! A big shadow has appeared!\nWho ever will save us!,哦不！一个大阴影出现了！\n谁会来拯救我们！,,,,,,
NETMESSAGE:Yay! You won the expert gauss/barnacle puzzle! Great job!,耶！你通过了专家级高斯/藤壶谜题！干得漂亮！,,,,,,
NETMESSAGE:The keycard has been found! Energy cube unlocked at spawn!,钥匙卡已找到！出生点能量立方体已解锁！,,,,,,
NETMESSAGE:Thanks for playing the Beta! Check the Sven forums for updates!,感谢游玩测试版！请查看Sven论坛获取更新！,,,,,,
"NETMESSAGE:Rush prevention, shield will lower in 10 seconds...",防rush，护盾将在10秒后降低……,,,,,,
NETMESSAGE:Secret blue cube discovered!,秘密蓝色立方体已发现！,,,,,,
NETMESSAGE:All 5 blue cubes were found! Great job! A winner is you!,全部5个蓝色立方体已找到！干得漂亮！你是赢家！,,,,,,
NETMESSAGE:You found a hidden gold picard coin! A winner is you!,你发现了一枚隐藏的金色皮卡德硬币！你是赢家！,,,,,,
NETMESSAGE:You found a picard coin!,你发现了一枚皮卡德硬币！,,,,,,
NETMESSAGE:All 5 crystals were found! Great job!,全部5个水晶已找到！干得漂亮！,,,,,,
NETMESSAGE:Something bugged in the map or all of the shadow's were not defeated within 5 minutes... Backup program initializing...,地图出错或所有阴影未在5分钟内被击败……备份程序正在启动……,,,,,,
NETMESSAGE:In memory of all the real trees that used to exist before we cut them all down.,以纪念所有在我们砍伐之前曾经存在的真正的树木。,,,,,,
