Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:Jamed,i need something to break it.",Jamed，我需要什么东西来打破它。,,,,,,
"NETMESSAGE:Too dark,we need open the light somehow.",太黑了，我们需要想办法打开灯。,,,,,,
NETMESSAGE:Something opened.,有什么东西打开了。,,,,,,
NETMESSAGE:I cant open it.,我打不开它。,,,,,,
"NETMESSAGE:Stuck,must be someway else.",卡住了，一定有别的路。,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
NETMESSAGE:New spawn activited.,新的刷怪点已激活。,,,,,,
NETMESSAGE:Something on.,什么东西打开了。,,,,,,
NETMESSAGE:New spawn activited.,新的刷怪点已激活。,,,,,,
NETMESSAGE:This board must be useful.,这块板子一定有用。,,,,,,
NETMESSAGE:A key is needed.,需要一把钥匙。,,,,,,
NETMESSAGE:New spawn activited.,新的刷怪点已激活。,,,,,,
NETMESSAGE:New spawn activited.,新的刷怪点已激活。,,,,,,
NETMESSAGE:New spawn activited.,新的刷怪点已激活。,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
NETMESSAGE:OMG!Its Dr.Abc's pants?!?!.(+500),天哪！那是Abc博士的裤子？！？！（+500）,,,,,,
NETMESSAGE:OMG!Its Dr.Abc's pants?!?!.(+500),天哪！那是Abc博士的裤子？！？！（+500）,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
NETMESSAGE:You found a ...uhm..book.(+20),你找到了一本...嗯..书。（+20）,,,,,,
