Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Incoming message: <data retrieval sequence initiated>,传入信息：<数据检索序列已启动>,,,,,,
NETMESSAGE:Incoming message: <error: no response>,传入信息：<错误：无响应>,,,,,,
NETMESSAGE:Incoming message: <supercomputer entered 'bunker 2'>,传入信息：<超级计算机进入'掩体2'>,,,,,,
"NETMESSAGE:Incoming message: <data transfer complete, continueing>",传入信息：<数据传输完成，继续>,,,,,,
NETMESSAGE:Incoming message: <supercomputer entered 'bunker 1'>,传入信息：<超级计算机进入'掩体1'>,,,,,,
"NETMESSAGE:Incoming message: <data transfer complete, continueing>",传入信息：<数据传输完成，继续>,,,,,,
NETMESSAGE:Incoming message: <error: no response>,传入信息：<错误：无响应>,,,,,,
NETMESSAGE:Incoming message: <error: no response>,传入信息：<错误：无响应>,,,,,,
NETMESSAGE:Incoming message: <supercomputer entered 'bunker 3'>,传入信息：<超级计算机进入'掩体3'>,,,,,,
"NETMESSAGE:Incoming message: <data transfer complete, continueing>",传入信息：<数据传输完成，继续>,,,,,,
NETMESSAGE:Incoming transmission...,传入传输中...,,,,,,
NETMESSAGE:Incoming transmission...,传入传输中...,,,,,,
NETMESSAGE:Incoming transmission...,传入传输中...,,,,,,
NETMESSAGE:Incoming transmission...,传入传输中...,,,,,,
NETMESSAGE:Incoming transmission...,传入传输中...,,,,,,
NETMESSAGE:Incoming transmission...,传入传输中...,,,,,,
NETMESSAGE:Incoming transmission...,传入传输中...,,,,,,
NETMESSAGE:Incoming transmission...,传入传输中...,,,,,,
NETMESSAGE:Incoming transmission...,传入传输中...,,,,,,
