Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:A Shadow moves in the dark. We cannot get out.,阴影在黑暗中移动。我们出不去了。,,,,,,
"NETMESSAGE:Drums, drums in the deep. We cannot get out.",鼓声，深渊中的鼓声。我们出不去了。,,,,,,
"NETMESSAGE:Here lies Balin, son of Fundin, Lord of Moria",此处安葬着巴林，芬丁之子，摩瑞亚之主。,,,,,,
NETMESSAGE:They are coming.,他们来了。,,,,,,
NETMESSAGE:To the bridge of Khazad-dum!,前往凯萨督姆之桥！,,,,,,
NETMESSAGE:They have a Cave Troll,他们有一只洞穴巨魔。,,,,,,
NETMESSAGE:What is this new devilry?,这是什么新的恶行？,,,,,,
NETMESSAGE:A Balrog. A demon of the ancient world. This foe is beyond any of you. Run!,一个炎魔。一个远古世界的恶魔。这个敌人超乎你们所有人。快跑！,,,,,,
NETMESSAGE:The fellowship has escaped!,远征队已经逃脱了！,,,,,,
NETMESSAGE:Over the bridge! Fly!,过桥！快飞！,,,,,,
