Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:Sven Viking (radio):\nHQ to landing party, comms are back again .\nGo back and use the missile launcher to strike at the nearby base!",斯文·维京（无线电）：\n总部呼叫登陆队，通讯已恢复。\n回去使用导弹发射器攻击附近的基地！,,,,,,
"NETMESSAGE:Sven Viking (radio):\nGood work, some of Rage Squad made it,\nthey'll be waiting for you at the tunnel.",斯文·维京（无线电）：\n干得好，愤怒小队的一些成员抵达了，\n他们会在隧道等你。,,,,,,
NETMESSAGE:SHIELD OVERCHARGE,护盾过载,,,,,,
"NETMESSAGE:Sven Viking (radio):\nThat mortartank needs to be destroyed to avoid further casualties.\nFind some explosives to blow it up, but be quick, there's an enemy airstrike inbound!",斯文·维京（无线电）：\n必须摧毁那辆迫击炮坦克以避免更多伤亡。\n找些炸药炸掉它，但要快，敌人空袭即将到来！,,,,,,
"NETMESSAGE:Sven Viking (radio):\nGood, you've acquired some C4, but it needs the detonator.\nOne of those grunts must have it.",斯文·维京（无线电）：\n很好，你拿到了C4，但需要雷管。\n那些士兵中肯定有人带着。,,,,,,
"NETMESSAGE:Sven Viking (radio):\nYou have the C4 and detonator, destroy that mortartank!\nThen rendezvous with whats left of one of our squads, they'll get you out before the incoming airstrike arrives.",斯文·维京（无线电）：\n你有了C4和雷管，摧毁那辆迫击炮坦克！\n然后与一个小队的剩余队员会合，他们会在空袭到来前带你撤离。,,,,,,
NETMESSAGE:DANGER!\n\nThe bomb has been planted! TAKE COVER!!,危险！\n\n炸弹已安放！寻找掩护！！,,,,,,
"NETMESSAGE:Sven Viking (radio):\nExcellent, you've acquired a detonator from that soldier.\nThe explosives for it must be around somewhere nearby.",斯文·维京（无线电）：\n太棒了，你从那个士兵身上拿到了雷管。\n炸药一定就在附近某处。,,,,,,
NETMESSAGE:Lt. JC:\nSir! Let's get the hell outta here! Fall back!,JC中尉：\n长官！我们快离开这里！撤退！,,,,,,
NETMESSAGE:ITEMS REQUIRED\n\nFind C4 and a DETONATOR and use both to blow up the tank!,所需物品\n\n找到C4和雷管，用它们炸毁坦克！,,,,,,
