Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:yougotthekey IMSOTIRED,你得到了钥匙 IMSOTIRED,,,,,,
NETMESSAGE:Reality unfolds before us...,现实在我们面前展开……,,,,,,
NETMESSAGE:Peany: Hey! You fixed my tv!,Peany: 嘿！你修好了我的电视！,,,,,,
NETMESSAGE:Peany: My admin sence is tingling!,Peany: 我的管理员直觉在刺痛！,,,,,,
NETMESSAGE:Peany: Yay! Awesome. My sign has been unlocked for all to see!,Peany: 耶！太棒了。我的标志已解锁，所有人都能看到！,,,,,,
"NETMESSAGE:Peany: Turrican, I don't know how much longer my shield will last!",Peany: Turrican，我不知道我的护盾还能撑多久！,,,,,,
"NETMESSAGE:Turrican: Wait, look, it's the Sven co-op team! \n Over here friends, go behind me and press that button on the console, quickly!",Turrican: 等等，看，是 Sven 合作团队！\n 朋友们，到这里来，走到我后面，按下控制台上的那个按钮，快！,,,,,,
"NETMESSAGE:Turrican: It's on the other side of that door, you will have to find a way around.",Turrican: 在那扇门的另一边，你们得找条路绕过去。,,,,,,
"NETMESSAGE:Peany: Thank you friends, you saved us... Turr, where is the key to my sign?",Peany: 谢谢朋友们，你们救了我们…… Turr，我标志的钥匙在哪儿？,,,,,,
NETMESSAGE:Turrican: We will have to split up. \n I must update Keen on the progress of the dimensional tear. Good luck!,Turrican: 我们得分开行动。\n 我必须向 Keen 汇报次元裂缝的进展。祝好运！,,,,,,
"NETMESSAGE:Peany: To the left is the portal to the first grid maze. Go on ahead, I shall see you later. Good luck!",Peany: 左边是通往第一个网格迷宫的传送门。你们先走吧，我们回头见。祝好运！,,,,,,
NETMESSAGE:Yay! Peanys Office has been unlocked!,耶！Peanys Office 已解锁！,,,,,,
