Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:pizza, tabetai na ... \n(I wanna eat pizza... )","pizza, tabetai na ... \n(我想吃披萨...)",,,,,,
NETMESSAGE:The pizza shop in the town\n- Shop is very busy anytime -,镇上的披萨店\n- 店铺随时都忙得很 -,,,,,,
NETMESSAGE:(Making),(制作中),,,,,,
NETMESSAGE:(Special thanks)\nGAMESABA community members & JP server players,(特别鸣谢)\nGAMESABA社区成员 & JP服务器玩家,,,,,,
NETMESSAGE:- In store part -,- 店内部分 -,,,,,,
NETMESSAGE:taihen da!!\n(This is serious!!),taihen da!!\n(这可不得了!!),,,,,,
NETMESSAGE:nikuya ga norainu ni osowareteiru!!\n(Meat shop got attacked by stray dogs!!),nikuya ga norainu ni osowareteiru!!\n(肉店被野狗袭击了!!),,,,,,
NETMESSAGE:yaoya mo osowarete iru!!\n(Vegetable shop got attacked too!!),yaoya mo osowarete iru!!\n(蔬菜店也被袭击了!!),,,,,,
NETMESSAGE:norainu wo taosite shokuzai kakuho da!!\n(Defeat dogs and secure foodstuff!! ),norainu wo taosite shokuzai kakuho da!!\n(打倒野狗，确保食材!!),,,,,,
NETMESSAGE:norainu wo kujo sita.\n(we exterminated dogs),norainu wo kujo sita.\n(我们消灭了野狗),,,,,,
NETMESSAGE:hidoi nioi da.... \n(It's terrible smell....),hidoi nioi da.... \n(这味道真难闻....),,,,,,
NETMESSAGE:oku ni aru cheese wo torou.\n(Let's get cheese which is in inner part of room.),oku ni aru cheese wo torou.\n(去拿房间深处的奶酪吧。),,,,,,
NETMESSAGE:KORAAAA!!! \n(HEEEEEY!!),KORAAAA!!! \n(喂——!!),,,,,,
NETMESSAGE:souji siro!!\n(Clean up!!),souji siro!!\n(打扫干净!!),,,,,,
NETMESSAGE:mise ga chirakatte iru zo!!\n(The shop is littered!!),mise ga chirakatte iru zo!!\n(店里乱成一团!!),,,,,,
"NETMESSAGE:mada karyoku ga tarinai!!\n(Firepower is not enough, yet)",mada karyoku ga tarinai!!\n(火力还不够!!),,,,,,
NETMESSAGE:nanika aru hazu da\n(There must be some ways to solve.),nanika aru hazu da\n(肯定有办法解决。),,,,,,
NETMESSAGE:tennai wo souji sita!!\n(We cleaned shop!!),tennai wo souji sita!!\n(我们把店里打扫干净了!!),,,,,,
NETMESSAGE:okyaku ga kuruzo!!\n(Customers will come!!),okyaku ga kuruzo!!\n(客人要来了!!),,,,,,
"NETMESSAGE:souda, haitatsu wo tanomou ... \n(Well, let's get pizza delivered.)","souda, haitatsu wo tanomou ... \n(对了，叫外卖吧……)",,,,,,
NETMESSAGE:odenwa arigatou gozaimasu.\n(Thank you for calling),odenwa arigatou gozaimasu.\n(感谢您的来电),,,,,,
NETMESSAGE:gochumon ha okimari deshouka?\n(How can I help you?),gochumon ha okimari deshouka?\n(请问您要订什么?),,,,,,
"NETMESSAGE:hai... kasikomarimasita\n(yes..., sure.)",hai... kasikomarimasita\n(好的……明白了),,,,,,
NETMESSAGE:syou syou ojikan itadakemasu desyouka?\n(Could you wait for that?),syou syou ojikan itadakemasu desyouka?\n(请稍等片刻好吗?),,,,,,
NETMESSAGE:souko kara komugi wo totte koyou\n(Take flour from storage),souko kara komugi wo totte koyou\n(去仓库拿面粉),,,,,,
NETMESSAGE:gaichu da!! kujo siro!!\n(It's vermin!! kill it!!),gaichu da!! kujo siro!!\n(是害虫!! 消灭它!!),,,,,,
