Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:THE CANNON IS READY TO USE \n every 3 min a missile will reload automatically,大炮已准备就绪 \n 每3分钟自动装填一枚导弹,,,,,,
NETMESSAGE:C4 desactivada,C4炸弹已解除,,,,,,
NETMESSAGE:bomb C4 Activated \n in MAINTENANCE STATION,C4炸弹已激活 \n 位于维护站,,,,,,
NETMESSAGE:3 minutes for the explosion \n Find the bomb and disable it,距离爆炸还有3分钟 \n 找到炸弹并拆除,,,,,,
NETMESSAGE:CHECKPOINT:\n From the spawn area you can use the portal\n to transposition into the truck,检查点：\n 从出生点使用传送门\n 传送至卡车,,,,,,
NETMESSAGE:You need to activate an exit portal,你需要激活一个出口传送门,,,,,,
NETMESSAGE:A secret is revealed!,发现一个秘密！,,,,,,
NETMESSAGE:bring Xonxt to the Alien Slave Hologram,将Xonxt带到外星奴隶全息影像处,,,,,,
NETMESSAGE:Find Xonxt (Alien Slave) to recharge the batteries.,找到Xonxt（外星奴隶）来为电池充电。,,,,,,
NETMESSAGE:battery ready,电池就绪,,,,,,
NETMESSAGE:battery ready in 2 minutes,电池将在2分钟后就绪,,,,,,
NETMESSAGE:A secret is revealed!,发现一个秘密！,,,,,,
NETMESSAGE:Get inside the car and using the command USE \n drive to the surface,进入车内并使用指令USE \n 驾驶至地表,,,,,,
NETMESSAGE:A secret is revealed!,发现一个秘密！,,,,,,
NETMESSAGE:Tank destroyed ... Mission completed,坦克被摧毁...任务完成,,,,,,
NETMESSAGE:SECRETS UNLOCKED \n pick the mega armor from the truck,秘密已解锁 \n 从卡车上拿走超级护甲,,,,,,
NETMESSAGE:A secret is revealed!,发现一个秘密！,,,,,,
