Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:The Main Computer has been destroyed!,主计算机已被摧毁！,,,,,,
NETMESSAGE:The Xen Artifacts have been destroyed!,Xen 神器已被摧毁！,,,,,,
NETMESSAGE:You have failed your mission...,你未能完成任务...,,,,,,
NETMESSAGE:The Subway Train has been destroyed!,地铁列车已被摧毁！,,,,,,
NETMESSAGE:The Front Door Security has been destroyed!,前门安保系统已被摧毁！,,,,,,
NETMESSAGE:You've held back the invasion force!,你抵挡住了入侵部队！,,,,,,
NETMESSAGE:The enemy is approaching. Get ready!,敌人正在逼近。准备战斗！,,,,,,
NETMESSAGE:Easy Difficulty selected!,已选择简单难度！,,,,,,
NETMESSAGE:Medium Difficulty selected!,已选择普通难度！,,,,,,
NETMESSAGE:Hard Difficulty selected!,已选择困难难度！,,,,,,
