Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:A new shortcut has appeared.,一条新的捷径出现了。,,,,,,
NETMESSAGE:There's a secret passage through this wall. Look for cracks in the wall and other hints.,这面墙里有一条秘密通道。留意墙上的裂缝和其他线索。,,,,,,
NETMESSAGE:A new teleporter has appeared.,一个新的传送器出现了。,,,,,,
NETMESSAGE:A new teleporter has appeared.,一个新的传送器出现了。,,,,,,
NETMESSAGE:Door 1/2 is now open.,门1/2现已开启。,,,,,,
NETMESSAGE:Door 2/2 is now open.,门2/2现已开启。,,,,,,
NETMESSAGE:A new teleporter has appeared.,一个新的传送器出现了。,,,,,,
NETMESSAGE:Schnappi has been slain! Collect your prize at the nearest rooftop.,Schnappi已被击杀！前往最近楼顶领取奖励。,,,,,,
NETMESSAGE:The Golem has been slain! Nof GTFO of here!,Golem已被击杀！现在快离开这里！,,,,,,
NETMESSAGE:The teleport to the last Boss is now active! Go get him!,传送至最终Boss的传送门现已激活！快去干掉他！,,,,,,
