Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:That thing looks like the first rune. Destroy it!,那个东西看起来像第一符文。摧毁它！,,,,,,
"NETMESSAGE:Very good, Team! The next rune is near the mine entrance.",非常好，队伍！下一个符文在矿洞入口附近。,,,,,,
NETMESSAGE:You found a secret!,你发现了一个秘密！,,,,,,
NETMESSAGE:The first mystical teleport is now open.,第一个神秘传送门现已开启。,,,,,,
NETMESSAGE:The second mystical teleport is now open.,第二个神秘传送门现已开启。,,,,,,
"NETMESSAGE:Welcome to Egypt, team! \n Kel ' Rana, the dark Pharao build 4 runes to save his power. \n Destroy all 4 runes to free Egypt.",欢迎来到埃及，队伍！ \n Kel ' Rana，黑暗法老建造了4个符文以保存他的力量。 \n 摧毁所有4个符文以解放埃及。,,,,,,
NETMESSAGE:Good work! Go on to rune No. 3.,干得好！继续去第三符文。,,,,,,
NETMESSAGE:Nearly complete! The last rune isn't far.,即将完成！最后一个符文不远了。,,,,,,
NETMESSAGE:The third mystical teleport is now open.,第三个神秘传送门现已开启。,,,,,,
"NETMESSAGE:Well, looks like another secret...",嗯，看来又是一个秘密...,,,,,,
NETMESSAGE:rune4text,符文4文本,,,,,,
NETMESSAGE:Congratulations. You rescued Egypt!,恭喜！你们拯救了埃及！,,,,,,
NETMESSAGE:A Secret seems to be around here...,附近似乎有一个秘密...,,,,,,
NETMESSAGE:A Secret seems to be around here...,附近似乎有一个秘密...,,,,,,
