Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Fuck away.,滚开。,,,,,,
NETMESSAGE:I'm busy now.,我现在很忙。,,,,,,
NETMESSAGE:Nobody here.,这里没人。,,,,,,
NETMESSAGE:Ah...Finally a fresh meat!,啊……终于有新鲜肉了！,,,,,,
"NETMESSAGE:Listen,i know ya wanna pass the way.",听着，我知道你想通过这条路。,,,,,,
"NETMESSAGE:Buuuut,(sniff) huh, you know,contribution",但……（吸鼻子）嗯，你知道，贡献。,,,,,,
NETMESSAGE:I have run out of my ration,我的配给用完了。,,,,,,
"NETMESSAGE:So,borrow some supply form that shop alright?",那么，从那家商店借点物资好吗？,,,,,,
NETMESSAGE:Take this and don't die.,拿着这个，别死了。,,,,,,
NETMESSAGE:I need someting to break it.,我需要点东西来打破它。,,,,,,
NETMESSAGE:Night,夜晚,,,,,,
NETMESSAGE:Day,白天,,,,,,
NETMESSAGE:Door opened,门开了,,,,,,
