Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Gate to The Pyramid is finally open!\nSend The Undead Pharaoh back to Hell!,通往金字塔的大门终于打开了！\n把不死法老送回地狱去！,,,,,,
NETMESSAGE:What do you think you are doing?!\nGo to The Pyramid and don't sniff around!,你以为你在干什么？！\n去金字塔，别到处嗅来嗅去！,,,,,,
NETMESSAGE:A lemon!?,柠檬？！,,,,,,
NETMESSAGE:Entering The Golden Tombs.,进入金色墓穴。,,,,,,
NETMESSAGE:But that doesn't look like hell...,但那看起来不像地狱...,,,,,,
NETMESSAGE:sc_royals series/nBy LemonSoda,sc_royals 系列/n由 LemonSoda 制作,,,,,,
NETMESSAGE:It's Crazy Barney and The Pharaoh!,是疯巴尼和法老！,,,,,,
NETMESSAGE:Teleport to The Pyramid is now open.,通往金字塔的传送门现已打开。,,,,,,
NETMESSAGE:Entering The Pyramid.,进入金字塔。,,,,,,
NETMESSAGE:Your team has found a key!,你的队伍找到了一把钥匙！,,,,,,
NETMESSAGE:We need to find a key to open this door.,我们需要找一把钥匙来打开这扇门。,,,,,,
NETMESSAGE:What on earth is Crazy Barney doing?\nWasn't he supposed to be on our side?,疯巴尼到底在干什么？\n他难道不是我们这边的吗？,,,,,,
