Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:Erm... I'm no archeologist, but that stuff isn't ancient!",呃……我不是考古学家，但那东西不是古代的！,,,,,,
NETMESSAGE:Hey! What the hell is going on?!!,嘿！这他妈的怎么回事？！！,,,,,,
"NETMESSAGE:Hey, it's some sort of camp, what the hell happened here?",嘿，是个营地，这里发生了什么？,,,,,,
NETMESSAGE:It seems the archeologists had an armed escort.\nBut why? Did they know about this place?,看来考古学家有武装护卫。\n但为什么？他们知道这个地方吗？,,,,,,
NETMESSAGE:Let's open up these crates and see what we can use. \n God knows what we're up against...,打开这些箱子看看我们能用到什么。 \n天知道我们要面对什么……,,,,,,
NETMESSAGE:Holy shit! What the hell are those?!,天哪！那些是什么鬼东西？！,,,,,,
NETMESSAGE:Bomb not in place,炸弹未就位,,,,,,
NETMESSAGE:There it is again! What the hell is it?!,又是它！那到底是什么玩意儿？！,,,,,,
NETMESSAGE:I think I saw another one!,我想我又看到一个！,,,,,,
NETMESSAGE:Hey! Did you see something move?\nWhat was it?,嘿！你看到有什么东西在动吗？\n那是什么？,,,,,,
