Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Please.\nDo not fall in the water.,请。\n不要掉进水里。,,,,,,
NETMESSAGE:60 Seconds\nUntil the Mission Starts...,60秒\n任务开始前...,,,,,,
NETMESSAGE:30 Seconds\nUntil the Mission Starts...,30秒\n任务开始前...,,,,,,
NETMESSAGE:15 Seconds\nUntil the Mission Starts...,15秒\n任务开始前...,,,,,,
NETMESSAGE:Mission Started.,任务开始。,,,,,,
NETMESSAGE:Objective:\nEscort the Engineer to Disarm the Bombs.\nNote:\nDo not let the barrels be breaked.,目标：\n护送工程师拆除炸弹。\n注意：\n不要让桶被破坏。,,,,,,
NETMESSAGE:Objective Completed.,目标完成。,,,,,,
NETMESSAGE:Objective:\nDisable the Mortars on the Upper Street.\nNote:\nEscort the engineer near the mortars to place bombs.,目标：\n解除上街的迫击炮。\n注意：\n护送工程师靠近迫击炮以放置炸弹。,,,,,,
NETMESSAGE:Objective Completed.,目标完成。,,,,,,
NETMESSAGE:Mission Failed.\nA Biohazard Drum has been broken.,任务失败。\n一个生化危险桶已被破坏。,,,,,,
NETMESSAGE:Objective:\nDestroy the Rocket Turrets.\nNote:\nUse the RPG near the last biohazard drum.,目标：\n摧毁火箭炮塔。\n注意：\n在最后一个生化危险桶附近使用RPG。,,,,,,
NETMESSAGE:Objective Completed.,目标完成。,,,,,,
NETMESSAGE:Objective:\nDestroy Enemy Helicopters.,目标：\n摧毁敌方直升机。,,,,,,
NETMESSAGE:Objective Completed.,目标完成。,,,,,,
NETMESSAGE:Objective:\nProceed to the Mosque for debrief.,目标：\n前往清真寺汇报情况。,,,,,,
NETMESSAGE:Mission Successfully Accompilshed.\nAll Terrorist Threat has been Neutralized.,任务成功完成。\n所有恐怖威胁已被消除。,,,,,,
