Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Message from your team:\n\nWeapons cache at the start is now open.\nShortcut available.,来自你的队伍的消息：\n\n起始点武器库现已开启。\n捷径可用。,,,,,,
"NETMESSAGE:Wrong way, use the other door.",走错了，用另一扇门。,,,,,,
NETMESSAGE:Message from your team:\n\nSecurity safe keycard found.,来自你的队伍的消息：\n\n找到保险柜钥匙卡。,,,,,,
NETMESSAGE:Message from your team:\n\nFresh water output door key found.,来自你的队伍的消息：\n\n找到清水出水口钥匙。,,,,,,
NETMESSAGE:Someone just got om nom nom'd,某人刚刚被吃掉了,,,,,,
NETMESSAGE:om nom nom,啊呜啊呜,,,,,,
NETMESSAGE:Message from your team:\n\nRope dropped from the car park.\nShortcut available.,来自你的队伍的消息：\n\n从停车场扔下了绳索。\n捷径可用。,,,,,,
NETMESSAGE:Use the rope to create a shortcut.,使用绳索创建捷径。,,,,,,
NETMESSAGE:You can't leave before your mission is completed!,任务完成前你不能离开！,,,,,,
NETMESSAGE:Those barrels look vunrable to explosives! We better be careful.,那些桶看起来容易爆炸！我们最好小心点。,,,,,,
NETMESSAGE:The aliens...they are backing down!\n\nLooks like we've escaped their pursuit.,外星人……他们在退却！\n\n看来我们已经摆脱了他们的追击。,,,,,,
NETMESSAGE:Escape the alien pursuit!,逃离外星人的追击！,,,,,,
NETMESSAGE:Message from your team:\n\nFresh water has now been cleaned.\nHead to the car park to leave the sewers.,来自你的队伍的消息：\n\n清水现已净化完毕。\n前往停车场离开下水道。,,,,,,
NETMESSAGE:Mission Completed,任务完成,,,,,,
NETMESSAGE:Message from your team:\n\nThe car park gate is open.\nYou have to kill the boss before you can leave.,来自你队伍的消息：\n\n停车场大门已开启。\n你必须先击杀BOSS才能离开。,,,,,,
NETMESSAGE:Message from your team:\n\nWe've reached the alien toxifiers.\nBlow them up to purify the public water.,来自你队伍的消息：\n\n我们已抵达外星毒化器。\n炸毁它们以净化公共水源。,,,,,,
NETMESSAGE:Hey! There are some explosive charges on\ntop of those lockers.,嘿！那些储物柜顶部有一些炸药。,,,,,,
NETMESSAGE:Message from your team:\n\nThe alien boss is dead.\nUse the truck to escape!,来自你队伍的消息：\n\n外星BOSS已死亡。\n使用卡车逃离！,,,,,,
