Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Shortcut activated!,捷径已激活！,,,,,,
NETMESSAGE:Congratulations you defeated the fire monster!,恭喜你击败了火焰怪物！,,,,,,
NETMESSAGE:I better climb these crates and go over this pipe...,我最好爬上这些板条箱，越过这根管道...,,,,,,
NETMESSAGE:You've reached the end of level 1! \n\nNext level is Sectore_2,你已到达第一关的终点！\n\n下一关是Sectore_2,,,,,,
NETMESSAGE:You looking for Freeman?\nI heard he's headed towards the Lambda Complex.,你在找弗里曼吗？\n我听说他正前往拉姆达复合体。,,,,,,
"NETMESSAGE:You better find him before I do, son of a bitch killed half my squad.",你最好在我之前找到他，那个狗娘养的杀了我半个小队。,,,,,,
NETMESSAGE:Congratulations you defeated the glass monster!\n\n A winner is you!,恭喜你击败了玻璃怪物！\n\n 你是赢家！,,,,,,
NETMESSAGE:All 5  freaky flowers were collected! A winner is you!,所有5朵奇花都已收集！你是赢家！,,,,,,
NETMESSAGE:A freaky flower has been acquired!,已获得一朵奇花！,,,,,,
NETMESSAGE:You broke all the glass windows on the map!,你打碎了地图上所有的玻璃窗！,,,,,,
NETMESSAGE:Now you have to fight the glass monster!,现在你必须与玻璃怪物战斗！,,,,,,
