Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:SUBJECT:  Gordon McGinley\nMale, age 30\n\nSTATUS:  Warehouse manager\n\nTRUTH BECOMES OBVIOUS",主题：戈登·麦金利\n男性，30岁\n\n状态：仓库经理\n\n真相显而易见,,,,,,
NETMESSAGE:SWEET HALF-LIFE,甜蜜的Half-Life,,,,,,
NETMESSAGE:CONCEPT DESIGN\n\nMarc Ellis,概念设计\n\n马克·埃利斯,,,,,,
NETMESSAGE:MAP & DIRECTION\n\nK.S.\n(koumei satou),地图与方向\n\nK.S.\n(koumei satou),,,,,,
NETMESSAGE:CODING & MODELING\n\nGareth Lough,编码与建模\n\n加雷斯·洛夫,,,,,,
NETMESSAGE:MODELING\n\nKaru_gamo,建模\n\nKaru_gamo,,,,,,
NETMESSAGE:THE END.....?,结束......?,,,,,,
NETMESSAGE:SUBJECT:Included Music\n\nAntonio VIVALDI\n''L'estro Armonico '',主题：包含音乐\n\n安东尼奥·维瓦尔第\n“和谐的灵感”,,,,,,
NETMESSAGE:Thank you for playing!,感谢您的游玩！,,,,,,
NETMESSAGE:TEST PLAYER\n\nPol Larrosa\nMike\nPiccolo,测试玩家\n\n波尔·拉罗萨\n麦克\n皮科洛,,,,,,
NETMESSAGE:VOICE ACTOR\n\nSteven k. Headley,配音演员\n\n史蒂文·K·黑德利,,,,,,
NETMESSAGE:TEXT\n\nAmit katz,文本\n\n阿米特·卡茨,,,,,,
NETMESSAGE:AND\n\nRichard Strauss\n''Also Sprach Zarathustra'',以及\n\n理查德·施特劳斯\n“查拉图斯特拉如是说”,,,,,,
NETMESSAGE:THE END,结束,,,,,,
