Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:dude , chill , wait 20 sec","哥们 , 冷静 , 等20秒",,,,,,
"NETMESSAGE:Your misson , firends\nWe need protect yourself and cake!",你的任务，朋友们\n我们需要保护自己和蛋糕！,,,,,,
"NETMESSAGE:Good Luck and , and some other shit that \nmakes cool things like uhh\npower?\nspeed?\nfuckit",祝好运，以及一些其他的废话 \n能产生酷炫的东西比如呃\n力量？\n速度？\n去他的,,,,,,
NETMESSAGE:Players!\nWAVE 1\nG   E   T      R   E   A   D   Y,玩家们！\n第一波\n做 好 准 备,,,,,,
NETMESSAGE:We made wave 1 so far...\nNext one is comming!,我们到目前为止完成了第一波...\n下一波要来了！,,,,,,
NETMESSAGE:WAVE 2 IN...,第二波倒计时...,,,,,,
"NETMESSAGE:Phew , i hope everyone is ok\nTheres more monsters comming!",呼，我希望大家都还好\n还有更多怪物要来！,,,,,,
"NETMESSAGE:I can see in my radar , zombie cookies are in the way!\nYou have 10 seconds to prepare",我在雷达上看到，僵尸饼干正在路上！\n你有10秒钟准备,,,,,,
"NETMESSAGE:MOVE , HOSTILES DETECTED",移动，检测到敌人！,,,,,,
"NETMESSAGE:Oh , so your are not gonna give up and change map? , very well",哦，所以你不打算放弃并换地图？，好吧,,,,,,
NETMESSAGE:WEAPON UPGRADE,武器升级,,,,,,
NETMESSAGE:Something BIG coming,有大东西要来了,,,,,,
"NETMESSAGE:im tired to saying* they comin* , and *get ready* shit like that\nBUT THIS IS THE LAST WAVE I SWEAR",我已经厌倦了说*他们要来了*，还有*准备好*之类的屁话\n但这是最后一波，我发誓,,,,,,
NETMESSAGE:FUN DIP HAS BEEN DESTROYED,FUN DIP已被摧毁,,,,,,
"NETMESSAGE:ok , i think its end",好了，我觉得结束了,,,,,,
NETMESSAGE:???:Nah,???:不,,,,,,
NETMESSAGE:what?\nwho are you?,什么？\n你是谁？,,,,,,
NETMESSAGE:???:SOMEBODY,???:有人,,,,,,
NETMESSAGE:oh no...,哦不...,,,,,,
NETMESSAGE:is this...end?,这是...结束吗？,,,,,,
NETMESSAGE:SV BOY:YES!,SV BOY:是的！,,,,,,
NETMESSAGE:Map change in 5 seconds,地图将在5秒后更换,,,,,,
NETMESSAGE:HARDCORE MODE SELECTED\nYOU MUST HAVE AT LEAST 12 PLAYERS\nNO MEDKIT ALLOWED\nSURVIVAL MODE ENABLED\nAMMO MULTIPLE:3x\nGOING TO ARENA IN 10 SECONDS,已选择硬核模式\n必须有至少12名玩家\n不允许使用医疗包\n生存模式已启用\n弹药倍数：3倍\n10秒后进入竞技场,,,,,,
NETMESSAGE:Easy mode selected\n6 Players Recomended\nMedkit allowed\nAmmo Multiple : 2x\nSurvival mode disabled\nGoing to party in 10 seconds,已选择简单模式\n建议6名玩家\n允许使用医疗包\n弹药倍数：2倍\n生存模式已禁用\n10秒后进入派对,,,,,,
NETMESSAGE:Vote Fail!,投票失败！,,,,,,
NETMESSAGE:Need more votes,需要更多投票,,,,,,
