Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Oh sorry not those cordinates,哦抱歉不是那些坐标,,,,,,
NETMESSAGE:You found a key for doors!,你找到了一把门钥匙！,,,,,,
NETMESSAGE:omg why you kill this vortigaunt bastards ;_;,天啊你为什么要杀这个伏提冈特的混蛋 ;_;,,,,,,
NETMESSAGE:A Super secret has been found!,超级秘密被发现了！,,,,,,
NETMESSAGE:Your current balance : 500 $,当前余额：500 $,,,,,,
NETMESSAGE:Your current balance : 1.100 $,当前余额：1.100 $,,,,,,
NETMESSAGE:Your current balance : 0 $,当前余额：0 $,,,,,,
NETMESSAGE:Your current balance : 2.500 $,当前余额：2.500 $,,,,,,
NETMESSAGE:Your current balance : 5.000 $,当前余额：5.000 $,,,,,,
NETMESSAGE:Your current balance : 7.500 $,当前余额：7.500 $,,,,,,
NETMESSAGE:Your current balance : 20.000 $,当前余额：20.000 $,,,,,,
NETMESSAGE:Your current balance : 50.000 $,当前余额：50.000 $,,,,,,
NETMESSAGE:Your current balance : 150.000 $,当前余额：150.000 $,,,,,,
NETMESSAGE:Your current balance : 300.000 $,当前余额：300.000 $,,,,,,
NETMESSAGE:Your current balance : 500.000 $,当前余额：500.000 $,,,,,,
"NETMESSAGE:Hey! , I dont have a time so heres answer : Ivan The Space Biker",嘿！，我没时间了所以答案是：伊万太空骑手,,,,,,
"NETMESSAGE:Congrats! , You win 1.000.00 $\nGrab gifts and have fun!",恭喜！，你赢了1.000.00 $\n领取礼物玩得开心！,,,,,,
NETMESSAGE:Your current balance : 1.00.000 $,当前余额：1.00.000 $,,,,,,
NETMESSAGE:SV BOY\nPretty young mapper\nCreator of map and textures\nBut still he a lazy potato,SV BOY\n很年轻的制图者\n地图和纹理的作者\n但他还是个懒土豆,,,,,,
NETMESSAGE:AdamR\nMany many thanks to him\nInspired by his map Adams Puzzles\nOriginal creator of puzzle4\glitch,AdamR\n非常感谢他\n受到他的地图Adams Puzzles的启发\npuzzle4的原作者\nglitch,,,,,,
"NETMESSAGE:Turrican\nWithout his music , map was be boring\nPretty cool dud",Turrican\n没有他的音乐，地图会很无聊\n很酷的家伙,,,,,,
NETMESSAGE:Mimo der'ma\nIdea with 9 question,Mimo der'ma\n第9题的想法,,,,,,
NETMESSAGE:Tails\nIdea with 5 question\nmai prety gud frend,Tails\n第5题的想法\n我很好的朋友,,,,,,
NETMESSAGE:sklayr03\nIdea with 8 question\nHe likes teletubies :DDDD,sklayr03\n第8题的想法\n他喜欢天线宝宝 :DDDD,,,,,,
NETMESSAGE:Nomtoshka\nIdea with 8 question\nHe didnt want to share his avatar,Nomtoshka\n第8题的想法\n他不想分享他的头像,,,,,,
NETMESSAGE:Black Stalker\nMake a banana model\nActualy he cool,Black Stalker\n制作了香蕉模型\n其实他很酷,,,,,,
NETMESSAGE:He can be pickeble\nBut how will you drop the crowbar?,他可以被拾取\n但你怎么放下撬棍呢？,,,,,,
"NETMESSAGE:Very well,But how will you select other weapons?",很好，但你怎么选择其他武器呢？,,,,,,
NETMESSAGE:A Super secret has been found!,超级秘密被发现了！,,,,,,
NETMESSAGE:A Super secret has been found!,超级秘密被发现了！,,,,,,
NETMESSAGE:A Super secret has been found!,超级秘密被发现了！,,,,,,
NETMESSAGE:A Super secret has been found!,超级秘密被发现了！,,,,,,
