Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:takedeppooooooooooo ....(^^;),拿走了哦哦哦哦哦哦哦哦....(^^;)),,,,,,
NETMESSAGE:koko ha Daikon mura. (Here is the 'Daikon' village.),这里是Daikon村。（这里是'Daikon'村庄。）,,,,,,
NETMESSAGE:...tabun nihon no dokoka desu. (...Maybe somewhere in Japan.),...可能是日本某个地方。（也许是日本的某个地方。）,,,,,,
"NETMESSAGE:sate, kyou mo sigoto ni sei wo dasuka. (Yeah, let's work today.)",那么今天也要努力吗？（是啊，今天来工作吧。）,,,,,,
NETMESSAGE:n!? aiyou no nata ga nai!! (What!? machete is not found!!),嗯！？心爱的柴刀不见了！！（什么！？柴刀不见了！！）,,,,,,
"NETMESSAGE:ano kuso inu!! (Shit, crap dog!!)",那只该死的狗！！（该死，烂狗！！）,,,,,,
NETMESSAGE:aitu ga motte itta ni tigai nai!! (He must have stolen it!!),那家伙拿走了没错！！（他一定是偷走了它！！）,,,,,,
"NETMESSAGE:yosi, torikaesuzo! (Well, get it back.)",好，夺回来吧！（好吧，去把它拿回来。）,,,,,,
NETMESSAGE:nata wo torikaesitazo (I got machete.),柴刀夺回来了（我拿到柴刀了。）,,,,,,
NETMESSAGE:sassoku makiwari wo siyou. (Let's do wood-chopping!),马上来劈柴吧。（我们来劈柴吧！）,,,,,,
"NETMESSAGE:yosi, zekkou chou (Yeah, I couldn't be better)",好，状态绝佳（是啊，再好不过了）,,,,,,
NETMESSAGE:taihen da!! (Big deal!!),不得了了！！（大事不好！！）,,,,,,
NETMESSAGE:hatake ni gaichu ga waitazo!! (Harmful insects appeared in the field.),田里出现了害虫！！（田里出现了害虫。）,,,,,,
NETMESSAGE:Young man: chotto tetudatte kure! (hey!! help me.),年轻人：喂，帮帮我！（嘿！！帮我。）,,,,,,
NETMESSAGE:Young man: koitura wo bukkorosunda! (Kill them all.),年轻人：把这些家伙打死！（把他们全杀了。）,,,,,,
NETMESSAGE:gaichu ha zenmetu sitazo!! (Harmful insects were exterminated.),害虫全灭了！！（害虫被消灭了。）,,,,,,
NETMESSAGE:musi ga wakumaeni daikon wo shuukaku siyou. (Harvest radishes. before insects appears),虫子出现之前收获萝卜。（在虫子出现前收获萝卜。）,,,,,,
NETMESSAGE:daikon ga nukeru made use key wo ose!! (Hold use key until radish is pulled out!!),萝卜拔出来之前一直按住使用键！！（按住使用键直到萝卜拔出！！）,,,,,,
NETMESSAGE:shukaku ha owatta. (Harvest ended.),收获结束了。（收获结束。）,,,,,,
NETMESSAGE:sonchou no ie ni yotte ikou. (Let's go to Village chief's house.),去村长家吧。（我们去村长家吧。）,,,,,,
NETMESSAGE:Village chief : gokurou. (Good job),村长：辛苦了。（干得好。）,,,,,,
NETMESSAGE:Village chief : shukka no junbi wo suruto siyou. (Let's begin the preparation for the shipment. ),村长：开始准备出货吧。（让我们开始准备装运。）,,,,,,
NETMESSAGE:taihen da!! (Big deal!!),不得了了！！（大事不好！！）,,,,,,
NETMESSAGE:daikon dorobouda!! (It's Radish Theves!!),是萝卜小偷！！（是萝卜小偷！！）,,,,,,
NETMESSAGE:Radish thief : hahahahaha!!,萝卜贼：哈哈哈哈！！,,,,,,
NETMESSAGE:Radish thief : kono daikon ha wareware ga itadaita!! (These radishes are ours!!),萝卜贼：这些萝卜我们收下了！！（这些萝卜是我们的！！）,,,,,,
"NETMESSAGE:Village chief : mu, souha sasenzo!! (Hum, I don't let you do that!!)",村长：哼，不会让你们得逞！！（哼，我不会让你那么做！！）,,,,,,
NETMESSAGE:dorobou tati wo korasimero!! (Defeat thieves!!),惩罚那些小偷们！！（击败小偷！！）,,,,,,
NETMESSAGE:Radish thief : haha!! choroi mondaze!! (haha!! too easy!!),萝卜贼：哈哈！！太简单了！！（哈哈！！太容易了！！）,,,,,,
"NETMESSAGE:Radish thief : korede saikoukyu daikon ha ware ware no monoda!! (Yeah, highest class radishes are ours!!)",萝卜贼：这样一来最高级的萝卜就是我们的了！！（是啊，最高级的萝卜是我们的！！）,,,,,,
NETMESSAGE:wareware ha daikon wo usinatta .... (We lost radishes .... ),我们失去了萝卜....（我们失去了萝卜....）,,,,,,
"NETMESSAGE:doroboutati wo oikakete, daikon wo torikaese!! (Run after thieves and get radishes back!! )",追上小偷，夺回萝卜！！（追上小偷，把萝卜拿回来！！）,,,,,,
NETMESSAGE:To be continued ....,未完待续....,,,,,,
NETMESSAGE:neko wo tasuketa! (You rescued a cat! ),救了猫！（你救了一只猫！）,,,,,,
"NETMESSAGE:miketama : neko wo tasukete kuretakoto, rei wo iu. (Thank you for helping cats. )",miketama：感谢你帮助了猫。（谢谢你帮助猫。）,,,,,,
"NETMESSAGE:miketama : kansya no sirusi tosite, sukedati itasou. (I will assist you as a token of one's gratitude.)",miketama：作为感谢的象征，我来协助你。（我将作为感谢的象征帮助你。）,,,,,,
NETMESSAGE:miketama : teki no iru tokoro made annai wo tanomu. (Lead me to the place where the enemies exists.),miketama：请带我到敌人所在的地方。（带我去敌人所在的地方。）,,,,,,
