Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Xen aliens attack!,Xen外星人攻击！,,,,,,
NETMESSAGE:Game start in 60 secs. 0w0,游戏将在60秒后开始。0w0,,,,,,
NETMESSAGE:>w< thx for playing!,>w< 感谢游玩！,,,,,,
NETMESSAGE:Well Done! You have defeat alien commander!,干得好！你击败了外星指挥官！,,,,,,
NETMESSAGE:Oh! BIG alien incomg!,哦！大型外星人来了！,,,,,,
NETMESSAGE:QAQ Take cover! Tor is coming!,QAQ 快躲避！Tor来了！,,,,,,
NETMESSAGE:Game end in 4mins.,游戏将在4分钟后结束。,,,,,,
NETMESSAGE:Map made by GreenTea (-V-),地图由GreenTea制作(-V-),,,,,,
NETMESSAGE:Need a hand^^ ?,需要帮忙吗^^？,,,,,,
NETMESSAGE:Round clear!,回合结束！,,,,,,
NETMESSAGE:The alien's crystal is destroyed!,外星人的水晶被摧毁了！,,,,,,
