Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:takedeppooooooooooo ....(^^;),坚持住啊啊啊啊啊啊啊....(^^;),,,,,,
NETMESSAGE:KICHIGAI's INBOUND!!!\n(30 seconds after),KICHIGAI 来袭！！！\n（30秒后）,,,,,,
NETMESSAGE:- STAGE 1 -,- 第1关 -,,,,,,
NETMESSAGE:BOSS INCOMING!!,BOSS 来袭！！,,,,,,
NETMESSAGE:- STAGE 1 CLEARED -,- 第1关已通关 -,,,,,,
NETMESSAGE:- STAGE 2 -,- 第2关 -,,,,,,
NETMESSAGE:- STAGE 2 CLEARED -,- 第2关已通关 -,,,,,,
NETMESSAGE:- STAGE 3 -,- 第3关 -,,,,,,
NETMESSAGE:- STAGE 3 CLEARED -,- 第3关已通关 -,,,,,,
NETMESSAGE:- STAGE 4 CLEARED -,- 第4关已通关 -,,,,,,
NETMESSAGE:- STAGE 4 -,- 第4关 -,,,,,,
NETMESSAGE:- STAGE 5 CLEARED -,- 第5关已通关 -,,,,,,
NETMESSAGE:- STAGE 5 -,- 第5关 -,,,,,,
NETMESSAGE:- STAGE 6 -,- 第6关 -,,,,,,
NETMESSAGE:- STAGE 6 CLEARED -,- 第6关已通关 -,,,,,,
NETMESSAGE:- STAGE 7 -,- 第7关 -,,,,,,
NETMESSAGE:- STAGE 7 CLEARED -,- 第7关已通关 -,,,,,,
NETMESSAGE:HEAD TO BOSS's ROOM!!!,前往 BOSS 的房间！！！,,,,,,
NETMESSAGE:- STAGE 8 -,- 第8关 -,,,,,,
NETMESSAGE:THUNDER MASTER gave up.,THUNDER MASTER 放弃了。,,,,,,
NETMESSAGE:He gives a party for his apology.,他举办派对以表歉意。,,,,,,
NETMESSAGE:Let's drink!!,让我们喝起来！！！,,,,,,
"NETMESSAGE:SO PEACEFUL TODAY, YEAH!!",今天太和平了，耶！！,,,,,,
NETMESSAGE:Thank you for playing!!!\n ....(^^;)b yay,感谢游玩！！！\n ....(^^;)b 耶,,,,,,
