Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:KICHIGAI's INBOUND!!!\n(30 seconds after),KICHIGAI入侵！！！\n(30秒后),,,,,,
NETMESSAGE:- STAGE 1 -,- 第1关 -,,,,,,
NETMESSAGE:- STAGE 1 CLEARED -,- 第1关已通关 -,,,,,,
NETMESSAGE:BOSS INCOMING!!,BOSS来袭！！,,,,,,
NETMESSAGE:- STAGE 2 -,- 第2关 -,,,,,,
NETMESSAGE:- STAGE 2 CLEARED -,- 第2关已通关 -,,,,,,
NETMESSAGE:- STAGE 3 CLEARED -,- 第3关已通关 -,,,,,,
NETMESSAGE:- STAGE 3 -,- 第3关 -,,,,,,
NETMESSAGE:- STAGE 5 CLEARED -,- 第5关已通关 -,,,,,,
NETMESSAGE:- STAGE 5 -,- 第5关 -,,,,,,
NETMESSAGE:- STAGE 4 CLEARED -,- 第4关已通关 -,,,,,,
NETMESSAGE:- STAGE 4 -,- 第4关 -,,,,,,
NETMESSAGE:- STAGE 6 CLEARED -,- 第6关已通关 -,,,,,,
NETMESSAGE:- STAGE 6 -,- 第6关 -,,,,,,
NETMESSAGE:- STAGE 7 CLEARED -,- 第7关已通关 -,,,,,,
NETMESSAGE:- STAGE 7 -,- 第7关 -,,,,,,
NETMESSAGE:- STAGE FINAL -,- 最终关 -,,,,,,
NETMESSAGE:KILL THE EVIL!!!,消灭邪恶！！！,,,,,,
NETMESSAGE:O N S E N    G U S H E D ! ! !,温泉喷涌！！！,,,,,,
NETMESSAGE:Thank you for playing!!!\n ....(^^;)b yay,感谢您的游玩！！！\n ....(^^;)b yay,,,,,,
"NETMESSAGE:SO PEACEFUL TODAY, YEAH!!",今天真和平，耶！！,,,,,,
